,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
83,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
84,0.17,2.0,0.5,0.0,14.09,13.5,2567.23,0.06,0.07,142.62,190.16,0.5,0.12,7.69,False
85,0.2,0.0,1.0,0.0,14.99,5.5,453.5,0.03,0.18,25.19,82.45,1.0,0.09,0.0,False
86,0.67,3.0,0.5,0.0,9.49,3.5,116.27,0.01,0.29,6.46,33.22,0.5,0.5,0.0,False
87,0.5,2.25,0.33,1.0,11.97,25.0,7483.01,0.1,0.04,415.72,299.32,1.0,0.43,0.0,False
88,0.04,0.0,1.0,0.0,39.03,26.4,27204.48,0.34,0.04,1511.36,1030.47,1.0,0.03,28.13,False
89,0.17,0.0,1.0,0.0,10.76,5.25,296.48,0.02,0.19,16.47,56.47,1.0,0.11,33.33,False
90,0.88,2.5,0.14,0.83,8.51,21.12,3799.3,0.06,0.05,211.07,179.85,0.86,0.7,0.0,False
91,0.5,2.0,0.5,0.0,12.44,9.0,1008.0,0.04,0.11,56.0,112.0,0.5,0.25,0.0,False
92,0.16,2.0,0.44,0.63,68.85,10.07,6976.38,0.23,0.1,387.58,693.08,0.67,0.12,19.4,False
93,0.33,0.0,1.0,0.0,7.75,2.0,31.02,0.01,0.5,1.72,15.51,1.0,0.17,0.0,False
94,0.08,0.0,1.0,0.0,44.7,5.0,1117.4,0.07,0.2,62.08,223.48,1.0,0.02,62.86,False
95,0.52,2.11,0.27,0.2,35.91,25.31,23011.32,0.3,0.04,1278.41,909.09,0.27,0.46,0.0,False
96,0.25,3.0,0.67,1.0,20.31,10.77,2355.5,0.07,0.09,130.86,218.72,1.0,0.15,7.69,False
97,0.25,0.0,1.0,0.0,11.63,2.0,46.53,0.01,0.5,2.58,23.26,1.0,0.2,0.0,False
98,0.5,0.0,1.0,0.0,10.57,3.0,95.1,0.01,0.33,5.28,31.7,1.0,0.11,60.0,False
99,0.16,2.29,0.5,0.56,86.23,31.88,87614.7,0.92,0.03,4867.48,2748.7,0.6,0.09,26.83,True
100,0.2,0.0,1.0,0.0,10.44,3.5,127.89,0.01,0.29,7.11,36.54,1.0,0.14,0.0,False
101,0.25,0.0,1.0,0.0,17.59,11.57,2355.07,0.07,0.09,130.84,203.52,1.0,0.14,0.0,False
102,0.06,0.0,1.0,0.0,58.3,5.33,1658.19,0.1,0.19,92.12,310.91,1.0,0.02,60.53,False
103,0.2,0.0,1.0,0.0,15.38,4.57,321.48,0.02,0.22,17.86,70.32,1.0,0.17,0.0,False
104,0.22,2.0,1.0,0.0,16.96,6.75,772.53,0.04,0.15,42.92,114.45,0.5,0.18,0.0,False
105,0.29,2.0,0.5,0.0,13.74,10.63,1550.69,0.05,0.09,86.15,145.95,0.5,0.17,0.0,False
106,0.24,2.33,0.6,1.0,24.76,24.5,14864.15,0.2,0.04,825.79,606.7,1.0,0.22,0.0,False
107,0.38,2.0,0.63,0.56,48.52,36.22,63649.28,0.59,0.03,3536.07,1757.32,0.58,0.35,8.0,False
108,0.29,2.2,0.57,0.5,47.71,15.97,12167.64,0.25,0.06,675.98,761.92,0.57,0.13,42.86,True
109,0.25,0.0,1.0,0.0,17.27,2.5,107.96,0.01,0.4,6.0,43.19,1.0,0.11,0.0,True
110,0.17,0.0,1.0,0.0,25.0,1.8,81.0,0.02,0.56,4.5,45.0,1.0,0.13,0.0,False
111,0.33,2.0,0.5,0.0,16.82,8.33,1168.18,0.05,0.12,64.9,140.18,0.5,0.25,14.29,False
112,0.15,2.0,0.5,0.0,26.51,7.13,1345.7,0.06,0.14,74.76,188.87,0.5,0.13,0.0,False
113,0.29,2.0,0.5,0.0,11.76,11.33,1510.25,0.04,0.09,83.9,133.26,0.5,0.25,0.0,False
114,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,False
115,0.18,2.0,1.0,0.0,26.99,6.97,1309.86,0.06,0.14,72.77,188.02,0.5,0.1,9.09,False
116,0.14,2.0,1.0,0.0,48.3,17.5,14790.85,0.28,0.06,821.71,845.19,0.5,0.05,41.67,True
117,0.22,2.0,1.0,0.0,15.57,7.5,875.68,0.04,0.13,48.65,116.76,0.5,0.17,0.0,False
118,0.25,0.0,1.0,0.0,8.72,4.0,139.48,0.01,0.25,7.75,34.87,1.0,0.2,0.0,False
119,0.31,2.0,1.0,0.0,29.06,6.54,1242.24,0.06,0.15,69.01,189.99,0.25,0.14,47.37,False
120,0.23,2.0,1.0,0.0,23.44,7.33,1260.57,0.06,0.14,70.03,171.9,0.33,0.21,0.0,False
121,0.36,2.22,0.4,0.64,42.04,61.97,161468.35,0.87,0.02,8970.46,2605.43,0.67,0.26,11.36,False
122,0.67,2.0,1.0,0.0,11.23,14.0,2200.43,0.05,0.07,122.25,157.17,0.5,0.4,0.0,False
123,0.33,0.0,1.0,0.0,7.75,2.0,31.02,0.01,0.5,1.72,15.51,1.0,0.25,0.0,True
124,0.33,0.0,1.0,0.0,11.07,3.0,99.66,0.01,0.33,5.54,33.22,1.0,0.2,0.0,False
125,0.4,0.0,0.25,0.0,17.3,7.0,847.8,0.04,0.14,47.1,121.11,0.25,0.13,0.0,False
126,0.05,0.0,1.0,0.0,100.47,7.44,5568.01,0.25,0.13,309.33,747.94,1.0,0.04,0.0,True
127,0.22,2.0,0.5,0.0,17.71,14.0,3472.0,0.08,0.07,192.89,248.0,0.5,0.18,0.0,False
128,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
129,0.13,0.0,1.0,0.0,32.29,2.57,213.55,0.03,0.39,11.86,83.05,1.0,0.08,11.11,False
130,0.13,2.0,1.0,0.0,61.47,4.05,1009.6,0.08,0.25,56.09,249.12,0.5,0.04,60.61,True
131,0.09,2.0,0.67,0.0,47.6,13.5,8674.38,0.21,0.07,481.91,642.55,0.33,0.06,3.13,False
132,0.26,2.33,0.2,0.75,30.88,8.25,2102.02,0.08,0.12,116.78,254.79,0.8,0.16,35.71,False
133,0.29,2.36,0.11,0.06,126.88,26.71,90551.52,1.13,0.04,5030.64,3389.63,0.09,0.17,26.42,True
134,0.43,3.0,0.67,1.0,13.8,7.86,851.86,0.04,0.13,47.33,108.42,1.0,0.33,0.0,False
135,0.19,0.0,1.0,0.0,23.8,7.79,1445.09,0.06,0.13,80.28,185.47,0.33,0.18,12.5,False
136,0.29,3.0,0.5,0.0,18.62,6.5,786.59,0.04,0.15,43.7,121.01,0.5,0.25,0.0,False
137,0.08,2.0,0.5,0.0,53.7,16.1,13923.65,0.29,0.06,773.54,864.67,0.5,0.04,44.19,False
138,0.15,2.0,0.5,0.0,30.83,17.31,9235.67,0.18,0.06,513.09,533.62,0.5,0.11,14.29,False
139,0.01,2.0,0.25,0.0,1535.48,11.07,188118.17,5.67,0.09,10451.01,16995.62,0.25,0.01,0.5,False
140,0.11,0.0,1.0,0.0,26.79,4.67,583.43,0.04,0.21,32.4,125.02,1.0,0.06,22.22,True
141,0.14,0.0,1.0,0.0,16.5,8.0,1056.0,0.04,0.13,58.67,132.0,1.0,0.13,0.0,False
142,0.35,2.0,0.43,0.5,33.58,20.52,14141.06,0.23,0.05,785.61,689.14,0.57,0.32,0.0,False
143,0.08,0.0,1.0,0.0,19.23,9.78,1838.45,0.06,0.1,102.14,188.02,1.0,0.03,43.48,False
144,0.6,2.0,0.33,0.0,13.29,10.29,1406.48,0.05,0.1,78.14,136.74,0.33,0.33,0.0,False
145,0.06,0.0,1.0,0.0,43.17,16.21,11361.49,0.23,0.06,631.19,700.37,1.0,0.06,0.0,False
146,0.38,2.0,1.0,0.0,17.84,12.0,2568.63,0.07,0.08,142.7,214.05,0.33,0.33,0.0,False
147,0.2,0.0,1.0,0.0,14.28,5.33,406.12,0.03,0.19,22.56,76.15,1.0,0.14,0.0,False
148,0.36,2.5,0.5,0.67,24.61,12.71,3973.8,0.1,0.08,220.77,312.75,0.75,0.31,0.0,False
149,0.13,2.17,0.88,0.43,75.27,22.24,37216.01,0.56,0.04,2067.56,1673.74,0.5,0.08,28.0,False
150,0.5,2.0,0.75,0.67,14.4,10.0,1440.0,0.05,0.1,80.0,144.0,0.75,0.4,0.0,False
151,0.29,2.05,0.95,0.52,98.77,30.8,93697.55,1.01,0.03,5205.42,3042.13,0.55,0.27,6.41,False
152,0.09,0.0,1.0,0.0,45.21,6.79,2087.1,0.1,0.15,115.95,307.19,1.0,0.04,35.29,False
153,0.6,2.0,0.67,0.0,4.54,15.0,1021.71,0.02,0.07,56.76,68.11,0.33,0.5,0.0,False
154,0.33,0.0,1.0,0.0,20.76,2.5,129.72,0.02,0.4,7.21,51.89,1.0,0.09,50.0,False
155,0.22,2.0,0.2,1.0,28.71,23.33,15633.33,0.22,0.04,868.52,670.0,1.0,0.12,17.86,False
156,1.0,2.0,0.5,0.0,9.51,4.0,152.16,0.01,0.25,8.45,38.04,0.5,2.0,0.0,False
157,0.25,0.0,1.0,0.0,21.05,6.13,789.68,0.04,0.16,43.87,128.93,1.0,0.14,0.0,False
158,0.25,2.0,0.8,0.0,20.51,12.8,3360.93,0.09,0.08,186.72,262.57,0.2,0.11,51.28,False
159,0.33,0.0,1.0,0.0,7.74,1.5,17.41,0.0,0.67,0.97,11.61,1.0,0.25,0.0,False
160,0.06,2.0,1.0,0.0,74.64,13.81,14241.04,0.34,0.07,791.17,1031.03,0.5,0.02,64.62,True
161,0.46,2.15,0.38,0.67,33.74,35.21,41834.57,0.4,0.03,2324.14,1188.0,0.69,0.29,40.43,False
162,0.5,2.0,1.0,0.0,12.17,8.4,858.37,0.03,0.12,47.69,102.19,0.5,0.4,0.0,False
163,0.38,2.0,0.4,0.0,39.26,6.75,1788.56,0.09,0.15,99.36,264.97,0.2,0.19,7.14,False
164,0.16,2.25,0.5,0.29,51.88,14.58,11021.37,0.25,0.07,612.3,756.18,0.38,0.09,30.43,False
165,0.29,3.0,0.67,0.8,28.9,10.82,3385.09,0.1,0.09,188.06,312.75,0.83,0.09,20.83,False
166,0.24,4.0,0.71,0.19,55.44,24.38,32939.44,0.45,0.04,1829.97,1351.36,0.24,0.17,6.85,False
167,0.6,2.0,0.67,0.0,4.54,15.0,1021.71,0.02,0.07,56.76,68.11,0.33,0.5,0.0,False
168,0.33,2.0,0.67,0.0,13.27,11.25,1679.37,0.05,0.09,93.3,149.28,0.33,0.23,0.0,False
169,0.2,3.5,0.17,0.6,36.79,15.58,8933.27,0.19,0.06,496.29,573.26,0.67,0.15,36.11,False
170,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
171,0.5,2.0,0.67,0.0,17.3,4.2,305.12,0.02,0.24,16.95,72.65,0.33,0.38,0.0,False
172,0.13,2.0,0.8,0.0,79.49,32.46,83754.62,0.86,0.03,4653.03,2580.32,0.1,0.09,17.78,False
173,0.23,2.0,0.33,0.0,16.82,11.11,2076.76,0.06,0.09,115.38,186.91,0.33,0.13,31.58,False
174,0.2,2.5,0.5,0.67,40.48,11.25,5123.16,0.15,0.09,284.62,455.39,0.75,0.05,52.94,True
175,0.1,2.0,0.67,0.0,182.36,5.4,5311.46,0.33,0.19,295.08,984.18,0.17,0.04,46.3,False
176,0.27,2.0,0.46,0.48,40.18,114.52,526977.11,1.53,0.01,29276.51,4601.77,0.5,0.26,4.81,False
177,0.3,3.0,0.67,1.0,14.12,10.89,1674.72,0.05,0.09,93.04,153.8,1.0,0.25,0.0,False
178,0.19,2.0,0.67,0.0,40.79,8.29,2800.36,0.11,0.12,155.58,337.97,0.33,0.14,12.5,False
179,0.22,2.0,0.86,0.0,42.74,11.03,5204.26,0.16,0.09,289.13,471.64,0.14,0.08,60.0,False
180,0.33,2.0,0.83,0.4,36.89,9.89,3605.18,0.12,0.1,200.29,364.66,0.5,0.29,5.56,False
181,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,71.43,False
182,0.2,2.5,0.5,0.67,40.48,11.25,5123.16,0.15,0.09,284.62,455.39,0.75,0.05,52.94,True
183,0.27,2.0,0.67,0.0,22.64,5.73,742.59,0.04,0.17,41.25,129.66,0.33,0.19,0.0,False
184,0.23,2.17,0.57,0.0,41.68,16.84,11818.06,0.23,0.06,656.56,701.84,0.14,0.16,24.32,True
185,0.19,0.0,0.8,0.0,35.57,19.77,13905.69,0.23,0.05,772.54,703.28,0.2,0.08,39.02,True
186,0.15,2.0,0.5,0.0,55.45,9.21,4707.63,0.17,0.11,261.52,510.91,0.25,0.09,20.59,False
187,0.26,2.0,0.71,0.0,53.3,10.61,6003.3,0.19,0.09,333.52,565.66,0.14,0.1,62.0,False
188,0.18,2.0,1.0,0.0,21.78,5.85,745.51,0.04,0.17,41.42,127.44,0.5,0.17,0.0,False
189,0.23,2.0,1.0,0.0,19.11,10.5,2107.08,0.07,0.1,117.06,200.67,0.33,0.19,7.14,False
190,0.14,2.0,1.0,0.0,25.22,9.21,2138.11,0.08,0.11,118.78,232.19,0.5,0.1,0.0,False
191,0.27,2.0,0.44,0.38,32.72,37.94,47122.94,0.41,0.03,2617.94,1242.0,0.44,0.25,17.65,False
192,0.17,0.0,1.0,0.0,24.61,3.33,273.48,0.03,0.3,15.19,82.04,1.0,0.14,0.0,False
193,0.09,2.0,0.5,0.0,77.69,36.83,105400.45,0.95,0.03,5855.58,2861.55,0.25,0.03,59.22,True
194,0.44,2.5,0.5,0.67,12.65,16.67,3515.14,0.07,0.06,195.29,210.91,0.75,0.36,0.0,False
195,0.5,2.0,0.5,0.0,11.42,7.33,614.25,0.03,0.14,34.13,83.76,0.5,0.25,0.0,False
196,0.33,2.0,0.5,0.0,21.28,15.27,4964.7,0.11,0.07,275.82,325.07,0.5,0.25,0.0,False
197,0.23,2.0,0.5,0.0,41.87,14.17,8403.03,0.2,0.07,466.83,593.15,0.17,0.15,11.54,False
198,0.25,2.0,1.0,0.0,18.53,9.0,1501.17,0.06,0.11,83.4,166.8,0.5,0.18,0.0,False
199,0.27,2.0,1.0,0.0,44.41,4.71,983.4,0.07,0.21,54.63,208.97,0.33,0.14,18.18,False
200,0.16,2.0,0.6,0.0,68.9,9.76,6567.21,0.22,0.1,364.84,672.65,0.2,0.06,57.14,False
201,0.1,2.0,0.6,0.0,55.62,43.56,105522.12,0.81,0.02,5862.34,2422.7,0.2,0.08,4.08,False
202,0.22,3.0,0.54,0.75,117.25,17.36,35353.17,0.68,0.06,1964.06,2035.97,0.77,0.13,27.69,True
203,0.17,2.0,0.67,1.0,26.3,10.45,2872.09,0.09,0.1,159.56,274.84,1.0,0.04,11.11,False
204,0.25,2.0,0.67,0.0,25.67,11.09,3155.71,0.09,0.09,175.32,284.6,0.33,0.23,8.33,False
205,0.24,2.33,0.8,0.5,16.41,15.0,3691.87,0.08,0.07,205.1,246.12,0.6,0.14,19.23,False
206,0.6,3.0,0.33,1.0,13.11,4.8,301.96,0.02,0.21,16.78,62.91,1.0,0.5,0.0,False
207,0.2,2.0,1.0,0.0,20.81,7.5,1170.6,0.05,0.13,65.03,156.08,0.5,0.13,18.18,False
208,0.2,2.0,0.86,0.0,48.73,13.64,9060.53,0.22,0.07,503.36,664.44,0.14,0.11,39.58,False
209,0.21,2.0,0.14,0.0,48.23,21.0,21270.06,0.34,0.05,1181.67,1012.86,0.14,0.16,2.94,False
210,0.32,2.0,1.0,0.5,34.83,15.79,8682.88,0.18,0.06,482.38,549.92,0.57,0.25,8.33,False
211,0.17,0.0,1.0,0.0,16.75,5.0,418.81,0.03,0.2,23.27,83.76,1.0,0.03,66.67,False
212,0.25,2.0,0.06,0.0,396.21,14.03,77960.6,1.85,0.07,4331.14,5557.76,0.06,0.2,22.06,False
213,0.18,2.0,0.67,0.0,51.05,19.74,19886.3,0.34,0.05,1104.79,1007.57,0.17,0.09,29.17,True
214,0.17,2.0,0.5,0.0,33.31,17.0,9625.29,0.19,0.06,534.74,566.19,0.25,0.14,20.83,False
215,0.4,2.0,0.25,0.0,8.55,23.4,4683.66,0.07,0.04,260.2,200.16,0.25,0.33,0.0,False
216,0.43,3.0,1.0,1.0,19.38,5.06,496.63,0.03,0.2,27.59,98.1,1.0,0.3,12.5,False
217,0.33,0.0,1.0,0.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.25,0.0,False
218,0.45,2.0,0.6,0.0,16.12,14.3,3299.03,0.08,0.07,183.28,230.7,0.2,0.38,0.0,False
219,0.2,2.0,1.0,0.0,16.01,13.0,2705.09,0.07,0.08,150.28,208.08,0.5,0.12,10.0,False
220,1.0,2.0,0.5,0.0,9.51,4.0,152.16,0.01,0.25,8.45,38.04,0.5,2.0,0.0,False
221,0.07,0.0,1.0,0.0,54.8,5.0,1370.1,0.09,0.2,76.12,274.02,1.0,0.02,57.58,False
