,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,TARGET
39,52.0,5.0,1.0,5.0,107.0,544.36,0.1,9.82,55.44,5344.61,0.18,296.92,12.0,22.0,71.0,36.0,8.0,True
40,30.0,2.0,1.0,2.0,74.0,330.0,0.08,12.5,26.4,4124.97,0.11,229.17,10.0,12.0,44.0,30.0,3.0,True
41,27.0,3.0,1.0,3.0,77.0,394.95,0.14,7.1,55.59,2805.82,0.13,155.88,11.0,24.0,46.0,31.0,5.0,True
42,47.0,7.0,1.0,6.0,105.0,525.0,0.08,12.05,43.58,6323.86,0.18,351.33,10.0,22.0,52.0,53.0,13.0,True
43,49.0,7.0,1.0,6.0,110.0,554.88,0.08,12.17,45.58,6755.1,0.18,375.28,10.0,23.0,54.0,56.0,13.0,True
44,7.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,6.0,6.0,8.0,6.0,1.0,True
45,66.0,12.0,5.0,12.0,177.0,922.07,0.05,20.45,45.08,18860.59,0.31,1047.81,15.0,22.0,117.0,60.0,23.0,True
46,14.0,1.0,1.0,1.0,29.0,118.54,0.18,5.63,21.07,666.77,0.04,37.04,9.0,8.0,19.0,10.0,1.0,True
47,29.0,3.0,1.0,3.0,64.0,300.83,0.11,9.17,32.82,2757.59,0.1,153.2,11.0,15.0,39.0,25.0,5.0,True
48,6.0,1.0,1.0,1.0,14.0,48.43,0.4,2.5,19.37,121.08,0.02,6.73,5.0,6.0,8.0,6.0,1.0,True
49,12.0,1.0,1.0,1.0,36.0,140.65,0.19,5.25,26.79,738.4,0.05,41.02,7.0,8.0,24.0,12.0,1.0,True
50,38.0,7.0,1.0,7.0,119.0,583.92,0.06,16.0,36.49,9342.72,0.19,519.03,12.0,18.0,71.0,48.0,13.0,True
51,132.0,16.0,11.0,13.0,322.0,2052.76,0.03,29.65,69.24,60862.61,0.68,3381.26,26.0,57.0,192.0,130.0,31.0,True
52,26.0,4.0,1.0,4.0,81.0,418.76,0.08,11.79,35.53,4935.43,0.14,274.19,15.0,21.0,48.0,33.0,7.0,True
53,56.0,5.0,1.0,4.0,178.0,988.72,0.08,13.19,74.95,13042.34,0.33,724.57,13.0,34.0,109.0,69.0,9.0,True
54,21.0,1.0,1.0,1.0,76.0,365.36,0.16,6.2,58.93,2265.23,0.12,125.85,8.0,20.0,45.0,31.0,1.0,True
55,43.0,6.0,5.0,5.0,95.0,508.97,0.05,18.9,26.93,9619.48,0.17,534.42,21.0,20.0,59.0,36.0,11.0,True
56,12.0,4.0,1.0,2.0,44.0,199.04,0.1,9.82,20.27,1954.18,0.07,108.57,12.0,11.0,26.0,18.0,7.0,True
57,11.0,1.0,1.0,1.0,26.0,98.99,0.17,6.0,16.5,593.95,0.03,33.0,8.0,6.0,17.0,9.0,1.0,True
58,26.0,2.0,1.0,2.0,68.0,319.63,0.14,7.15,44.72,2284.41,0.11,126.91,9.0,17.0,41.0,27.0,3.0,True
59,80.0,11.0,1.0,11.0,274.0,1637.77,0.03,28.71,57.05,47016.12,0.55,2612.01,22.0,41.0,167.0,107.0,21.0,True
60,63.0,8.0,1.0,8.0,185.0,1069.55,0.04,24.33,43.95,26025.75,0.36,1445.88,22.0,33.0,112.0,73.0,15.0,True
61,10.0,2.0,1.0,2.0,23.0,87.57,0.08,12.83,6.82,1123.8,0.03,62.43,11.0,3.0,16.0,7.0,3.0,True
62,9.0,2.0,1.0,1.0,31.0,129.27,0.18,5.6,23.08,723.9,0.04,40.22,8.0,10.0,17.0,14.0,3.0,True
63,35.0,5.0,1.0,4.0,89.0,448.95,0.05,20.4,22.01,9158.6,0.15,508.81,18.0,15.0,55.0,34.0,9.0,True
64,9.0,1.0,1.0,1.0,25.0,92.51,0.4,2.5,37.0,231.28,0.03,12.85,5.0,8.0,17.0,8.0,1.0,True
65,16.0,2.0,1.0,2.0,35.0,136.74,0.07,13.75,9.94,1880.19,0.05,104.46,11.0,4.0,25.0,10.0,3.0,True
66,5.0,1.0,1.0,1.0,10.0,28.07,0.27,3.75,7.49,105.28,0.01,5.85,5.0,2.0,7.0,3.0,1.0,True
67,16.0,1.0,1.0,1.0,28.0,109.39,0.22,4.57,23.93,500.08,0.04,27.78,8.0,7.0,20.0,8.0,3.0,True
68,4.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,6.0,1.0,6.0,1.0,1.0,True
69,12.0,2.0,1.0,2.0,24.0,88.81,0.29,3.43,25.9,304.49,0.03,16.92,6.0,7.0,16.0,8.0,3.0,True
70,8.0,2.0,1.0,1.0,20.0,74.01,0.19,5.25,14.1,388.55,0.02,21.59,7.0,6.0,11.0,9.0,3.0,True
71,4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,4.0,1.0,4.0,1.0,1.0,True
72,14.0,2.0,1.0,2.0,29.0,120.93,0.15,6.87,17.59,831.38,0.04,46.19,10.0,8.0,18.0,11.0,3.0,True
73,56.0,3.0,1.0,2.0,101.0,537.51,0.13,7.5,71.67,4031.36,0.18,223.96,10.0,30.0,56.0,45.0,5.0,True
74,30.0,2.0,1.0,2.0,55.0,248.8,0.11,9.17,27.14,2280.63,0.08,126.7,11.0,12.0,35.0,20.0,3.0,True
75,52.0,8.0,1.0,8.0,247.0,1440.72,0.04,23.08,62.43,33247.47,0.48,1847.08,18.0,39.0,147.0,100.0,15.0,True
76,41.0,6.0,3.0,6.0,109.0,572.02,0.05,18.45,31.0,10553.84,0.19,586.32,18.0,20.0,68.0,41.0,11.0,True
77,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,True
78,15.0,1.0,1.0,1.0,26.0,101.58,0.29,3.5,29.02,355.53,0.03,19.75,7.0,8.0,18.0,8.0,1.0,True
79,9.0,1.0,1.0,1.0,31.0,107.24,0.29,3.43,31.28,367.69,0.04,20.43,4.0,7.0,19.0,12.0,1.0,True
80,5.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,6.0,2.0,6.0,2.0,1.0,True
81,25.0,1.0,1.0,1.0,65.0,309.07,0.15,6.5,47.55,2008.94,0.1,111.61,9.0,18.0,39.0,26.0,1.0,True
82,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
83,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3.0,1.0,3.0,1.0,1.0,True
84,23.0,3.0,1.0,2.0,70.0,316.65,0.07,14.18,22.33,4490.66,0.11,249.48,12.0,11.0,44.0,26.0,5.0,True
85,14.0,1.0,1.0,1.0,33.0,134.89,0.24,4.2,32.11,566.52,0.04,31.47,7.0,10.0,21.0,12.0,1.0,True
86,18.0,2.0,1.0,1.0,39.0,156.0,0.1,9.64,16.18,1504.29,0.05,83.57,9.0,7.0,24.0,15.0,3.0,True
87,40.0,4.0,1.0,3.0,110.0,544.96,0.07,15.17,35.93,8265.25,0.18,459.18,13.0,18.0,68.0,42.0,7.0,True
88,24.0,3.0,1.0,2.0,80.0,371.51,0.07,13.85,26.83,5143.96,0.12,285.78,12.0,13.0,50.0,30.0,5.0,True
89,52.0,6.0,1.0,5.0,133.0,670.9,0.06,16.25,41.29,10902.2,0.22,605.68,13.0,20.0,83.0,50.0,11.0,True
90,11.0,1.0,1.0,1.0,14.0,51.81,0.25,4.0,12.95,207.22,0.02,11.51,8.0,5.0,9.0,5.0,1.0,True
91,23.0,6.0,6.0,2.0,70.0,346.79,0.05,19.79,17.52,6863.63,0.12,381.31,19.0,12.0,45.0,25.0,11.0,True
92,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3.0,1.0,3.0,1.0,1.0,True
93,38.0,8.0,8.0,5.0,191.0,1123.58,0.04,28.27,39.75,31758.83,0.37,1764.38,27.0,32.0,124.0,67.0,15.0,True
94,113.0,15.0,11.0,14.0,527.0,3493.67,0.03,33.28,104.99,116258.98,1.16,6458.83,25.0,74.0,330.0,197.0,29.0,True
95,8.0,1.0,1.0,1.0,26.0,106.27,0.26,3.85,27.6,409.16,0.04,22.73,7.0,10.0,15.0,11.0,1.0,True
96,38.0,6.0,3.0,6.0,167.0,894.71,0.05,20.8,43.01,18609.99,0.3,1033.89,16.0,25.0,102.0,65.0,11.0,True
97,47.0,13.0,10.0,10.0,231.0,1303.73,0.03,36.93,35.3,48144.92,0.43,2674.72,22.0,28.0,137.0,94.0,25.0,True
98,8.0,1.0,1.0,1.0,17.0,60.94,0.2,5.0,12.19,304.72,0.02,16.93,8.0,4.0,12.0,5.0,1.0,True
99,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3.0,2.0,3.0,2.0,1.0,True
100,15.0,3.0,1.0,1.0,43.0,204.46,0.1,9.69,21.1,1981.69,0.07,110.09,14.0,13.0,25.0,18.0,5.0,True
101,38.0,5.0,1.0,5.0,61.0,307.71,0.07,15.0,20.51,4615.62,0.1,256.42,18.0,15.0,36.0,25.0,7.0,True
102,48.0,12.0,1.0,11.0,177.0,977.67,0.04,26.92,36.31,26321.9,0.33,1462.33,20.0,26.0,107.0,70.0,21.0,True
103,70.0,15.0,14.0,3.0,293.0,1662.02,0.02,41.3,40.24,68641.45,0.55,3813.41,21.0,30.0,175.0,118.0,29.0,True
104,23.0,5.0,3.0,3.0,116.0,633.29,0.04,22.8,27.78,14439.1,0.21,802.17,24.0,20.0,78.0,38.0,9.0,True
105,27.0,8.0,6.0,5.0,128.0,694.56,0.05,20.16,34.45,14002.37,0.23,777.91,18.0,25.0,72.0,56.0,15.0,True
106,10.0,1.0,1.0,1.0,26.0,104.0,0.23,4.28,24.31,444.89,0.03,24.72,7.0,9.0,15.0,11.0,1.0,True
107,13.0,1.0,1.0,1.0,46.0,213.62,0.13,7.46,28.62,1594.5,0.07,88.58,11.0,14.0,27.0,19.0,1.0,True
108,23.0,8.0,8.0,8.0,109.0,545.0,0.07,14.71,37.05,8017.24,0.18,445.4,13.0,19.0,66.0,43.0,15.0,True
109,11.0,4.0,4.0,4.0,38.0,164.23,0.1,9.78,16.8,1605.84,0.05,89.21,11.0,9.0,22.0,16.0,7.0,True
110,9.0,2.0,1.0,2.0,42.0,184.48,0.13,7.73,23.87,1425.51,0.06,79.19,10.0,11.0,25.0,17.0,3.0,True
111,11.0,3.0,3.0,2.0,43.0,202.12,0.14,6.97,29.01,1408.1,0.07,78.23,11.0,15.0,24.0,19.0,5.0,True
112,49.0,8.0,1.0,7.0,185.0,1088.29,0.06,17.81,61.1,19385.15,0.36,1076.95,19.0,40.0,110.0,75.0,15.0,True
113,53.0,11.0,6.0,9.0,354.0,2139.72,0.02,44.31,48.29,94805.86,0.71,5266.99,27.0,39.0,226.0,128.0,21.0,True
114,21.0,5.0,4.0,2.0,81.0,418.76,0.05,21.0,19.94,8794.04,0.14,488.56,21.0,15.0,51.0,30.0,9.0,True
115,16.0,4.0,1.0,4.0,86.0,430.0,0.11,8.9,48.29,3829.05,0.14,212.72,11.0,21.0,52.0,34.0,7.0,True
116,22.0,5.0,3.0,4.0,123.0,679.4,0.04,25.0,27.18,16984.95,0.23,943.61,25.0,21.0,81.0,42.0,9.0,True
117,24.0,5.0,3.0,4.0,129.0,724.3,0.04,24.87,29.12,18012.97,0.24,1000.72,26.0,23.0,85.0,44.0,9.0,True
118,27.0,6.0,1.0,5.0,131.0,697.17,0.05,18.67,37.35,13013.89,0.23,722.99,16.0,24.0,75.0,56.0,11.0,True
119,27.0,5.0,1.0,4.0,93.0,408.49,0.05,21.33,19.15,8714.36,0.14,484.13,12.0,9.0,61.0,32.0,9.0,True
120,39.0,9.0,9.0,5.0,208.0,1233.59,0.03,35.34,34.9,43599.82,0.41,2422.21,29.0,32.0,130.0,78.0,17.0,True
121,16.0,3.0,1.0,3.0,58.0,275.78,0.14,7.0,39.4,1930.48,0.09,107.25,9.0,18.0,30.0,28.0,5.0,True
122,19.0,4.0,1.0,4.0,86.0,426.06,0.08,12.28,34.7,5231.08,0.14,290.62,13.0,18.0,52.0,34.0,7.0,True
123,66.0,16.0,11.0,15.0,259.0,1608.25,0.04,25.03,64.25,40253.51,0.54,2236.31,23.0,51.0,148.0,111.0,31.0,True
124,12.0,2.0,1.0,2.0,22.0,81.41,0.14,7.2,11.31,586.15,0.03,32.56,8.0,5.0,13.0,9.0,3.0,True
125,19.0,5.0,5.0,4.0,84.0,423.73,0.07,14.17,29.91,6002.83,0.14,333.49,15.0,18.0,50.0,34.0,9.0,True
126,9.0,3.0,3.0,2.0,50.0,216.1,0.07,13.5,16.01,2917.3,0.07,162.07,12.0,8.0,32.0,18.0,5.0,True
127,29.0,4.0,3.0,3.0,69.0,348.06,0.1,9.95,34.99,3462.31,0.12,192.35,14.0,19.0,42.0,27.0,7.0,True
128,286.0,27.0,5.0,25.0,481.0,2948.19,0.04,27.42,107.5,80852.59,0.98,4491.81,17.0,53.0,310.0,171.0,53.0,True
129,26.0,3.0,1.0,3.0,68.0,326.9,0.09,11.0,29.72,3595.9,0.11,199.77,14.0,14.0,46.0,22.0,5.0,True
130,64.0,11.0,1.0,11.0,177.0,954.44,0.06,18.15,52.58,17326.76,0.32,962.6,16.0,26.0,118.0,59.0,21.0,True
131,47.0,4.0,1.0,4.0,92.0,442.28,0.08,12.38,35.74,5473.17,0.15,304.07,12.0,16.0,59.0,33.0,7.0,True
132,107.0,9.0,7.0,7.0,187.0,1109.05,0.05,19.95,55.59,22125.51,0.37,1229.19,21.0,40.0,111.0,76.0,17.0,True
133,107.0,9.0,7.0,7.0,178.0,1051.43,0.05,19.65,53.5,20664.58,0.35,1148.03,21.0,39.0,105.0,73.0,17.0,True
134,74.0,5.0,3.0,4.0,131.0,727.65,0.07,14.45,50.35,10515.73,0.24,584.21,16.0,31.0,75.0,56.0,9.0,True
135,37.0,4.0,1.0,4.0,75.0,348.29,0.09,10.61,32.84,3694.35,0.12,205.24,11.0,14.0,48.0,27.0,7.0,True
136,79.0,7.0,1.0,6.0,161.0,889.29,0.07,14.03,63.37,12478.8,0.3,693.27,15.0,31.0,103.0,58.0,13.0,True
137,134.0,15.0,8.0,14.0,303.0,1804.12,0.03,30.22,59.7,54519.67,0.6,3028.87,21.0,41.0,185.0,118.0,29.0,True
138,55.0,4.0,3.0,3.0,152.0,894.16,0.06,16.14,55.37,14440.71,0.3,802.26,19.0,40.0,84.0,68.0,7.0,True
139,22.0,3.0,1.0,2.0,61.0,279.68,0.08,12.0,23.31,3356.19,0.09,186.46,12.0,12.0,37.0,24.0,5.0,True
140,22.0,3.0,1.0,2.0,73.0,325.54,0.06,16.2,20.09,5273.72,0.11,292.98,12.0,10.0,46.0,27.0,5.0,True
141,8.0,3.0,1.0,3.0,13.0,36.5,0.2,5.0,7.3,182.48,0.01,10.14,5.0,2.0,9.0,4.0,5.0,True
142,151.0,18.0,4.0,16.0,439.0,2790.97,0.03,38.54,72.43,107551.84,0.93,5975.1,26.0,56.0,273.0,166.0,34.0,True
143,2.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,2.0,1.0,2.0,1.0,1.0,True
144,2.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,4.0,1.0,4.0,1.0,1.0,True
145,70.0,13.0,4.0,12.0,291.0,1795.45,0.03,33.41,53.74,59984.29,0.6,3332.46,28.0,44.0,186.0,105.0,31.0,True
146,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,5.0,2.0,5.0,2.0,1.0,True
147,2.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,5.0,1.0,5.0,1.0,1.0,True
148,27.0,1.0,1.0,1.0,37.0,154.29,0.22,4.5,34.29,694.29,0.05,38.57,6.0,12.0,19.0,18.0,1.0,True
149,57.0,1.0,1.0,1.0,123.0,679.4,0.15,6.57,103.45,4461.99,0.23,247.89,9.0,37.0,69.0,54.0,1.0,True
150,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3.0,1.0,3.0,1.0,1.0,True
151,7.0,1.0,1.0,1.0,15.0,45.0,0.5,2.0,22.5,90.0,0.02,5.0,4.0,4.0,11.0,4.0,1.0,True
152,7.0,1.0,1.0,1.0,9.0,25.27,0.27,3.75,6.74,94.75,0.01,5.26,5.0,2.0,6.0,3.0,1.0,True
153,16.0,2.0,1.0,2.0,32.0,118.41,0.14,7.2,16.45,852.58,0.04,47.37,8.0,5.0,23.0,9.0,3.0,True
154,11.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,6.0,4.0,7.0,4.0,1.0,True
155,8.0,2.0,1.0,1.0,17.0,62.91,0.15,6.75,9.32,424.63,0.02,23.59,9.0,4.0,11.0,6.0,3.0,True
156,62.0,14.0,1.0,9.0,445.0,3011.84,0.02,41.88,71.91,126141.8,1.0,7007.88,37.0,72.0,282.0,163.0,36.0,True
157,39.0,4.0,1.0,4.0,88.0,423.05,0.07,13.43,31.49,5682.93,0.14,315.72,13.0,15.0,57.0,31.0,7.0,True
158,165.0,13.0,11.0,12.0,365.0,2206.2,0.02,43.27,50.99,95460.74,0.74,5303.37,27.0,39.0,240.0,125.0,25.0,True
159,45.0,3.0,1.0,3.0,83.0,403.21,0.08,12.19,33.08,4914.15,0.13,273.01,13.0,16.0,53.0,30.0,5.0,True
160,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,True
161,21.0,2.0,1.0,2.0,61.0,279.68,0.16,6.43,43.51,1797.96,0.09,99.89,10.0,14.0,43.0,18.0,3.0,True
162,23.0,1.0,1.0,1.0,69.0,331.71,0.18,5.6,59.23,1857.56,0.11,103.2,8.0,20.0,41.0,28.0,1.0,True
163,12.0,1.0,1.0,1.0,24.0,98.1,0.26,3.85,25.48,377.68,0.03,20.98,7.0,10.0,13.0,11.0,1.0,True
164,44.0,7.0,1.0,5.0,124.0,650.74,0.07,14.0,46.48,9110.4,0.22,506.13,14.0,24.0,76.0,48.0,13.0,True
165,17.0,4.0,3.0,3.0,34.0,136.0,0.13,7.71,17.63,1049.14,0.05,58.29,9.0,7.0,22.0,12.0,7.0,True
166,40.0,5.0,3.0,4.0,95.0,470.65,0.07,13.72,34.3,6458.35,0.16,358.8,13.0,18.0,57.0,38.0,9.0,True
167,179.0,13.0,4.0,12.0,361.0,2241.61,0.04,22.82,98.25,51144.16,0.75,2841.34,17.0,57.0,208.0,153.0,25.0,True
168,92.0,8.0,3.0,8.0,212.0,1184.01,0.07,15.17,78.07,17957.52,0.39,997.64,12.0,36.0,121.0,91.0,15.0,True
169,14.0,1.0,1.0,1.0,26.0,108.42,0.33,3.0,36.14,325.25,0.04,18.07,6.0,12.0,14.0,12.0,1.0,True
170,92.0,8.0,3.0,8.0,203.0,1121.28,0.07,15.35,73.03,17214.99,0.37,956.39,12.0,34.0,116.0,87.0,15.0,True
171,64.0,4.0,1.0,4.0,138.0,744.14,0.09,10.82,68.76,8053.51,0.25,447.42,11.0,31.0,77.0,61.0,7.0,True
172,184.0,16.0,12.0,13.0,437.0,2922.0,0.03,33.6,86.96,98179.22,0.97,5454.4,28.0,75.0,257.0,180.0,31.0,True
173,17.0,4.0,3.0,3.0,32.0,125.02,0.12,8.25,15.15,1031.42,0.04,57.3,9.0,6.0,21.0,11.0,7.0,True
174,38.0,5.0,3.0,4.0,93.0,460.74,0.08,13.0,35.44,5989.62,0.15,332.76,13.0,18.0,57.0,36.0,9.0,True
175,6.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,4.0,3.0,4.0,3.0,1.0,True
176,41.0,4.0,1.0,4.0,85.0,421.11,0.1,10.47,40.21,4409.92,0.14,245.0,13.0,18.0,56.0,29.0,7.0,True
177,13.0,1.0,1.0,1.0,7.0,16.25,1.33,0.75,21.67,12.19,0.01,0.68,1.0,4.0,1.0,6.0,1.0,True
178,20.0,4.0,3.0,3.0,36.0,147.15,0.14,7.31,20.12,1076.02,0.05,59.78,9.0,8.0,23.0,13.0,7.0,True
179,50.0,5.0,4.0,4.0,122.0,625.77,0.06,16.5,37.93,10325.25,0.21,573.62,15.0,20.0,78.0,44.0,9.0,True
180,17.0,1.0,1.0,1.0,50.0,219.62,0.2,5.0,43.92,1098.08,0.07,61.0,7.0,14.0,30.0,20.0,1.0,True
181,41.0,6.0,5.0,5.0,95.0,508.97,0.05,18.9,26.93,9619.48,0.17,534.42,21.0,20.0,59.0,36.0,11.0,True
182,29.0,4.0,1.0,1.0,60.0,278.63,0.08,12.46,22.36,3472.18,0.09,192.9,12.0,13.0,33.0,27.0,7.0,True
183,125.0,8.0,5.0,7.0,272.0,1704.57,0.06,17.69,96.33,30162.15,0.57,1675.67,18.0,59.0,156.0,116.0,15.0,True
184,42.0,5.0,3.0,4.0,113.0,570.02,0.06,15.47,36.84,8820.26,0.19,490.01,14.0,19.0,71.0,42.0,9.0,True
185,17.0,4.0,3.0,3.0,32.0,125.02,0.12,8.25,15.15,1031.42,0.04,57.3,9.0,6.0,21.0,11.0,7.0,True
186,14.0,3.0,3.0,3.0,40.0,169.92,0.11,8.94,19.01,1518.63,0.06,84.37,11.0,8.0,27.0,13.0,5.0,True
187,9.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,4.0,2.0,4.0,2.0,1.0,True
188,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,True
