,V1,V2,V8,V12,V13,V14,V15,V17,V18,V22,V27,V28,V30,V31,V36,V37,V39,TARGET
30,4.562,3.3225,31.3,0.259,2.634,0.918,9.184,0.984,1.143,1.206,2.0,-0.218,10.144,1.521,3.375,2.667,7.403,2
31,4.0,2.9193,30.0,0.167,2.279,0.811,8.318,0.998,1.146,1.195,1.732,-0.596,9.444,1.0,3.261,3.167,7.097,2
32,4.694,3.646,30.0,-0.671,2.917,1.406,9.425,0.998,1.146,1.14,2.101,-0.077,10.162,1.631,3.417,2.875,7.595,2
33,4.236,2.9879,33.3,-0.653,3.974,3.574,10.082,0.972,1.138,1.205,1.996,0.0,10.389,10.108,3.329,1.987,8.414,2
34,4.17,3.4453,27.3,-0.245,2.512,0.971,8.597,1.028,1.151,1.112,1.848,0.425,9.59,1.542,3.337,3.233,7.294,2
35,4.214,3.3939,28.6,-0.211,2.662,1.459,8.755,1.014,1.149,1.138,1.902,-0.249,9.822,2.052,3.344,2.944,7.382,2
36,4.214,3.7074,33.3,-0.329,2.713,1.459,8.755,1.025,1.139,1.186,1.902,-0.263,9.75,2.052,3.38,3.194,7.543,2
37,4.233,3.4039,27.8,-0.262,2.938,1.906,9.011,1.022,1.15,1.119,1.95,-0.087,10.041,2.999,3.349,2.833,7.61,2
38,4.334,3.6943,33.3,-0.241,2.838,1.557,8.944,1.013,1.139,1.164,1.97,0.149,10.118,2.195,3.39,2.952,7.596,2
39,4.372,3.3652,33.3,-0.177,3.139,2.246,9.253,0.993,1.139,1.186,2.024,-0.025,10.624,3.412,3.394,2.517,7.788,2
40,5.392,4.5881,30.8,-0.209,3.517,1.907,10.633,0.989,1.144,1.169,2.314,0.001,11.278,3.598,3.503,2.461,8.269,2
41,4.446,3.6985,30.0,-0.796,3.192,1.922,9.523,1.036,1.146,1.116,2.061,-0.028,20.804,3.132,3.431,3.133,8.008,2
42,4.411,3.5866,31.8,-0.328,3.699,2.948,9.956,0.995,1.142,1.164,2.08,0.0,22.47,6.131,3.393,2.407,8.325,2
43,4.527,3.7942,32.5,-0.117,4.14,3.427,10.56,0.981,1.14,1.184,2.13,0.0,23.699,9.594,3.393,2.086,8.693,2
44,4.347,3.1269,33.3,-0.076,3.809,3.309,9.933,0.975,1.138,1.202,2.019,0.0,10.914,8.395,3.358,1.96,8.298,2
45,4.562,3.8122,33.3,-0.759,2.723,0.918,9.184,1.025,1.139,1.179,2.0,-0.258,9.6,1.521,3.511,3.556,7.676,2
46,4.629,4.0061,33.3,0.086,2.847,1.379,9.312,1.013,1.139,1.189,2.053,0.149,10.19,1.776,3.523,2.976,7.747,2
47,4.655,2.409,35.0,0.094,3.204,2.182,9.765,1.02,1.135,1.157,2.256,0.014,10.698,2.989,3.542,2.667,8.185,2
48,4.644,3.9071,31.6,-0.104,3.082,1.837,9.467,1.021,1.142,1.149,2.084,0.049,10.469,2.732,3.525,3.093,7.886,2
49,4.646,3.9619,34.3,-0.189,3.707,2.587,10.202,1.017,1.137,1.184,2.107,0.0,21.879,6.086,3.535,2.775,8.578,2
50,4.468,4.1984,33.3,-1.073,3.37,2.252,9.651,1.025,1.139,1.158,2.085,-0.008,21.27,3.737,3.534,2.944,8.196,2
51,4.562,3.7287,25.0,-1.21,3.184,0.918,9.184,1.134,1.142,1.19,2.0,-0.271,9.435,1.521,3.976,4.037,8.593,2
52,5.206,3.3847,30.8,-0.947,3.713,2.9,10.416,0.979,1.145,1.187,2.218,0.0,10.57,6.77,3.47,2.167,8.295,2
53,4.691,3.8787,25.0,-2.498,3.125,1.436,9.666,1.066,1.161,1.078,2.117,0.052,19.617,2.428,3.483,4.019,8.015,2
54,4.17,3.6206,28.6,-1.426,2.612,0.971,8.597,1.124,1.149,1.095,1.848,0.481,17.905,1.542,3.427,4.733,7.521,2
55,4.214,3.3376,33.3,-1.072,2.774,1.459,8.755,1.071,1.148,1.187,1.902,-0.277,9.377,2.052,3.423,4.111,7.746,2
56,5.206,3.5794,30.6,-0.919,3.965,3.189,10.627,0.985,1.147,1.18,2.22,0.0,22.35,8.266,3.473,2.306,8.611,2
57,4.17,2.6629,26.7,0.0,2.4,0.971,8.597,0.983,1.152,1.12,1.848,0.342,0.0,1.542,3.0,2.567,6.683,2
58,5.175,3.9016,29.6,-0.239,3.227,1.859,10.165,1.002,1.146,1.146,2.175,0.014,10.355,3.341,3.389,2.538,7.979,2
59,4.642,3.0034,42.1,0.0,3.093,1.187,9.631,0.987,1.12,1.256,2.2,-0.024,0.0,1.487,3.639,2.315,8.009,2
60,4.607,2.9443,42.1,0.0,3.093,1.187,9.631,0.987,1.12,1.242,2.194,-0.024,0.0,1.544,3.635,2.315,8.009,2
61,4.807,3.2486,42.1,0.0,3.1,0.881,9.833,0.987,1.12,1.272,2.246,-0.024,0.0,1.06,3.71,2.333,8.114,2
62,4.828,3.3386,40.0,0.0,3.203,1.261,9.749,1.004,1.125,1.219,2.247,0.014,0.0,1.436,3.677,2.233,8.114,2
63,4.543,2.7023,42.9,-0.242,3.309,1.705,9.722,1.003,1.119,1.241,2.166,-0.008,10.395,2.905,3.573,2.485,8.245,2
64,4.521,2.7124,45.0,0.0,3.203,1.661,9.466,0.987,1.114,1.268,2.154,0.014,0.0,2.593,3.587,2.317,8.061,2
65,4.607,3.1116,46.7,0.0,3.151,1.187,9.631,1.02,1.111,1.253,2.194,-0.026,10.036,1.544,3.662,2.926,8.143,2
66,4.863,3.3599,42.1,0.0,3.335,1.273,9.967,1.027,1.12,1.216,2.283,-0.008,10.249,1.568,3.743,2.864,8.33,2
67,4.923,3.2457,44.4,-0.863,3.239,1.185,9.911,1.011,1.116,1.248,2.267,0.014,10.422,1.563,3.73,2.8,8.28,2
68,5.068,3.3983,41.7,-1.1,3.571,1.59,10.257,1.03,1.121,1.202,2.343,0.001,22.449,2.147,3.793,2.833,8.593,2
69,5.074,3.092,38.1,-0.98,3.869,2.066,10.59,1.001,1.129,1.215,2.354,0.0,23.965,3.873,3.795,2.467,8.789,2
70,4.914,3.2253,41.7,-0.952,3.571,1.59,10.236,1.03,1.121,1.202,2.307,0.001,22.204,2.465,3.764,2.833,8.591,2
71,5.047,2.7377,50.0,-2.685,3.634,1.06,10.531,1.078,1.104,1.211,2.454,-0.001,32.533,1.75,3.906,3.321,8.796,2
72,4.793,2.1244,50.0,-0.288,3.699,0.5,10.239,0.998,1.104,1.28,2.247,0.0,11.596,3.928,3.681,2.313,8.7,2
73,4.77,3.1445,43.8,-0.986,3.261,1.185,9.882,1.04,1.117,1.207,2.236,0.015,10.231,1.74,3.712,3.2,8.3,2
74,5.313,3.4571,35.3,0.0,3.509,1.16,10.388,1.061,1.118,1.219,2.311,-0.008,20.836,1.833,4.735,3.477,9.513,2
75,4.77,2.5385,38.5,3.12,3.131,1.185,9.882,0.964,1.128,1.274,2.236,0.012,0.0,1.74,3.521,1.767,7.934,2
76,4.414,2.18,31.6,0.0,2.755,0.802,9.183,0.98,1.142,1.149,2.101,-0.066,0.0,0.975,3.159,2.119,7.119,2
77,4.821,2.5866,33.3,-0.135,3.232,1.455,9.928,0.99,1.139,1.189,2.249,-0.007,10.635,2.209,3.434,2.258,7.93,2
78,5.331,2.1747,47.4,0.0,4.133,0.393,10.867,1.009,1.102,1.3,2.37,0.0,13.055,2.694,4.44,2.318,9.576,2
79,4.607,3.0422,47.1,0.0,3.127,1.187,9.631,0.992,1.11,1.299,2.194,-0.025,10.118,1.544,3.651,2.481,8.116,2
80,5.814,2.4937,37.0,0.513,3.256,0.845,10.926,0.978,1.131,1.254,2.62,0.003,11.573,0.811,3.756,2.091,8.196,2
81,5.637,2.2966,38.5,1.646,3.144,0.853,10.63,0.964,1.128,1.267,2.554,-0.006,0.0,0.986,3.676,1.658,8.065,2
82,5.814,2.4328,34.5,0.0,3.227,0.845,10.926,0.975,1.136,1.223,2.62,0.003,0.0,0.811,3.693,1.97,8.05,2
83,4.732,2.9426,40.0,0.417,2.767,0.959,9.464,1.042,1.125,1.208,2.236,0.145,9.827,1.138,3.603,3.056,7.829,2
84,4.923,2.7291,50.0,-0.199,3.266,0.664,10.037,1.019,1.104,1.266,2.376,-0.008,10.843,1.057,3.783,2.5,8.33,2
85,4.414,3.2274,45.5,0.0,2.935,1.203,9.209,1.038,1.114,1.296,2.152,-0.085,9.774,1.496,3.67,2.881,8.002,2
86,4.414,2.3717,29.4,0.0,2.789,1.203,9.209,1.004,1.147,1.141,2.152,-0.074,0.0,1.496,3.238,2.405,7.243,2
87,4.982,2.8025,50.0,-0.601,3.38,0.762,10.226,1.033,1.109,1.261,2.424,0.004,21.888,1.027,3.853,2.833,8.508,2
88,4.651,2.7156,31.3,0.292,2.826,0.917,9.502,0.998,1.148,1.19,2.214,-0.074,10.5,0.918,3.482,2.452,7.624,2
89,4.802,3.0226,50.0,0.0,3.174,0.0,9.805,0.985,1.109,1.359,2.323,0.013,0.0,0.95,3.868,1.981,8.357,2
90,5.164,3.2947,23.1,0.0,3.108,0.917,9.968,1.055,1.138,1.188,2.256,-0.081,20.417,0.939,4.681,3.274,9.289,2
91,4.826,2.731,25.0,0.0,3.525,1.654,10.121,1.007,1.163,1.12,2.303,-0.001,0.0,1.916,3.396,2.5,8.023,2
92,4.829,2.9046,39.3,-0.664,3.786,1.875,10.281,1.025,1.127,1.227,2.284,0.0,22.271,3.31,3.74,2.736,8.888,2
93,5.439,2.3629,23.5,-0.945,4.381,1.871,11.509,1.055,1.155,1.154,2.466,0.0,35.388,5.533,4.61,3.182,9.993,2
94,4.739,2.6454,39.1,-0.959,3.394,1.695,9.972,1.008,1.13,1.218,2.212,0.004,10.379,2.815,3.585,2.764,8.319,2
95,4.659,3.7176,23.1,-2.138,3.714,2.128,10.094,1.042,1.144,1.174,2.125,-0.002,20.538,4.56,4.061,3.333,8.992,2
96,3.975,2.8897,32.3,0.0,3.699,3.322,9.707,0.961,1.141,1.209,1.978,0.0,0.0,8.122,2.994,1.55,7.896,2
97,4.17,2.607,25.0,0.0,2.373,0.971,8.597,0.97,1.161,1.133,1.848,0.322,0.0,1.542,2.983,2.167,6.635,2
98,3.0,1.8227,20.0,0.0,1.883,0.918,6.594,0.975,1.174,1.126,1.414,0.764,0.0,1.333,2.642,2.167,5.834,2
99,3.618,2.3911,25.0,0.0,2.359,1.522,7.853,0.97,1.161,1.129,1.732,0.33,0.0,2.094,2.848,1.9,6.432,2
100,3.0,1.8205,22.2,0.0,1.926,0.918,6.594,0.998,1.162,1.06,1.414,0.826,0.0,1.333,2.651,3.167,5.86,2
101,4.0,2.5101,25.0,0.0,2.199,0.811,8.318,0.988,1.156,1.118,1.732,-0.552,0.0,1.0,2.97,2.833,6.539,2
102,4.444,3.1402,29.6,0.0,2.946,1.891,9.202,0.973,1.146,1.16,2.042,0.038,0.0,2.602,3.096,2.093,7.197,2
103,3.879,2.6274,29.6,0.0,2.938,2.281,8.743,0.973,1.146,1.161,1.902,0.039,0.0,3.685,2.936,2.056,7.087,2
104,3.95,2.7989,31.0,0.0,3.364,2.807,9.296,0.969,1.143,1.18,1.956,-0.002,0.0,5.698,2.976,1.857,7.552,2
105,5.391,3.7046,26.7,0.0,3.838,1.735,10.648,0.979,1.139,1.532,2.358,0.0,0.0,1.69,5.127,2.108,9.921,2
106,3.732,2.477,25.0,0.0,2.597,1.585,8.16,1.005,1.156,1.069,1.802,-0.229,0.0,2.488,2.897,3.0,6.732,2
107,3.973,3.0163,32.7,0.0,3.68,3.301,9.649,0.968,1.14,1.202,1.975,0.0,0.0,7.718,3.129,1.816,7.984,2
108,3.414,2.4719,30.0,0.0,2.263,1.0,7.408,0.998,1.146,1.141,1.618,-0.611,0.0,1.707,2.974,3.125,6.631,2
109,3.414,2.1848,18.2,0.0,2.211,1.0,7.408,1.007,1.178,0.999,1.618,-0.603,0.0,1.707,2.79,3.25,6.251,2
110,4.334,3.1387,26.3,0.0,2.746,1.557,8.944,0.998,1.153,1.099,1.97,0.135,0.0,2.195,3.114,2.548,7.098,2
111,3.0,2.311,28.6,0.0,2.03,0.918,6.594,1.014,1.149,1.177,1.414,0.903,8.806,1.333,2.991,3.667,6.578,2
112,4.17,2.8963,30.8,0.0,2.466,0.971,8.597,0.989,1.144,1.196,1.848,0.363,9.505,1.542,3.18,2.867,7.056,2
113,4.414,3.1682,31.6,0.287,2.768,1.379,9.222,0.98,1.142,1.224,2.0,0.126,10.254,2.133,3.325,2.5,7.473,2
114,4.414,3.4137,33.3,-0.125,2.847,1.379,9.222,1.013,1.139,1.209,2.0,0.144,20.067,2.133,3.426,3.262,7.758,2
115,4.236,3.1869,34.6,-0.671,3.78,3.284,9.867,0.977,1.136,1.212,1.993,0.0,10.319,8.066,3.33,2.133,8.337,2
116,4.523,4.0241,31.6,-0.913,3.082,1.837,9.454,1.021,1.142,1.121,2.074,0.048,20.676,2.57,3.494,3.093,7.912,2
117,4.475,3.5408,32.4,-0.855,4.103,3.664,10.32,0.982,1.14,1.181,2.105,0.0,23.157,9.847,3.474,2.083,8.622,2
118,4.836,5.6969,32.5,-0.851,4.293,2.929,10.906,0.989,1.14,1.178,2.262,0.0,37.824,4.685,3.526,2.268,8.951,2
119,4.476,3.7418,30.0,-0.195,2.917,1.5,9.345,0.998,1.146,1.153,2.042,-0.079,10.191,2.34,3.389,2.625,7.628,2
120,4.235,3.3919,28.6,-0.255,3.039,1.975,9.118,1.014,1.149,1.124,1.962,0.048,10.129,3.449,3.35,2.685,7.677,2
121,4.38,3.3996,30.8,-1.068,3.345,2.252,9.625,1.019,1.144,1.138,2.044,-0.008,20.772,4.178,3.379,3.028,8.09,2
122,4.412,3.4435,33.9,-0.268,4.587,4.437,10.757,0.974,1.137,1.208,2.086,0.0,23.892,17.114,3.395,1.899,9.075,2
123,4.243,3.0402,31.3,-1.48,3.477,2.522,9.716,1.008,1.143,1.139,2.0,-0.002,20.288,5.475,3.337,2.952,8.169,2
124,4.237,3.0152,31.8,-1.396,3.699,2.948,9.917,0.995,1.142,1.158,2.0,0.0,20.53,7.174,3.335,2.63,8.317,2
125,4.412,3.7308,30.6,-0.554,4.201,3.774,10.379,1.002,1.144,1.146,2.085,0.0,23.21,10.723,3.397,2.311,8.752,2
126,4.544,3.9936,30.4,-1.072,3.272,2.187,9.59,1.027,1.145,1.142,2.101,0.015,21.21,3.207,3.486,2.985,8.051,2
127,4.399,3.455,32.3,-0.228,4.363,4.044,10.513,0.979,1.138,1.202,2.08,0.0,23.602,12.745,3.645,1.976,9.017,2
128,4.706,4.2802,30.0,-1.853,3.192,1.922,9.565,1.036,1.146,1.13,2.127,-0.028,20.872,2.691,3.586,3.133,8.016,2
129,4.67,4.0218,33.3,0.218,3.447,2.21,9.961,0.983,1.139,1.203,2.147,-0.002,11.115,3.769,3.53,2.262,8.143,2
130,4.644,3.7043,33.3,0.185,3.146,1.922,9.536,0.993,1.139,1.197,2.089,-0.025,10.696,3.237,3.525,2.533,7.913,2
131,4.644,3.122,33.3,0.238,3.939,3.418,10.195,0.973,1.138,1.21,2.094,0.0,11.181,9.52,3.525,1.931,8.459,2
132,4.343,3.9399,33.3,-2.514,3.047,1.5,9.309,1.09,1.139,1.108,2.0,-0.097,19.107,2.682,3.519,4.167,8.016,2
133,4.17,3.2723,22.2,-1.19,2.555,0.971,8.597,1.083,1.162,1.018,1.848,0.46,9.118,1.542,3.333,4.433,7.299,2
134,4.588,4.0275,32.0,-0.579,3.256,1.859,9.768,1.007,1.141,1.174,2.12,0.014,21.203,3.114,3.48,2.833,8.066,2
135,4.17,3.3821,40.0,0.56,2.559,0.971,8.597,0.987,1.133,1.332,1.848,0.401,0.0,1.542,3.452,3.033,7.564,2
136,5.098,3.8431,17.6,0.0,3.176,1.5,9.872,1.041,1.159,1.131,2.112,-0.085,19.811,2.472,4.692,3.552,9.315,2
137,4.214,3.5181,27.3,-0.738,2.953,1.459,8.755,1.057,1.146,1.174,1.902,-0.263,9.587,2.052,3.815,3.296,8.172,2
138,5.098,3.1338,27.3,0.0,3.72,2.911,10.229,0.992,1.145,1.168,2.121,0.0,10.364,6.651,4.45,2.459,9.153,2
139,4.372,3.4629,38.5,2.495,3.129,1.922,9.494,0.964,1.128,1.288,2.031,-0.023,0.0,3.412,3.363,2.033,7.909,2
140,4.17,2.2197,27.3,0.0,2.507,1.393,8.723,1.028,1.151,1.018,2.214,-0.228,0.0,1.542,3.325,2.767,7.303,2
141,3.802,2.8425,31.6,0.0,2.746,1.95,8.394,0.98,1.142,1.169,1.848,0.129,0.0,2.885,3.104,2.357,7.119,2
142,4.235,3.0785,28.0,0.0,2.975,1.975,9.118,0.989,1.15,1.137,1.962,0.043,0.0,3.449,3.112,2.315,7.316,2
143,4.752,3.995,31.0,-0.307,3.987,3.022,10.465,1.0,1.143,1.149,2.161,0.0,23.23,8.486,3.451,2.375,8.618,2
144,4.618,4.7233,33.3,-1.035,3.305,1.79,9.768,1.035,1.139,1.163,2.136,0.016,20.666,2.612,3.493,3.152,8.202,2
145,4.562,4.1592,10.0,-0.713,2.978,0.918,9.184,1.082,1.175,1.152,2.0,-0.274,9.461,1.521,4.307,4.148,8.83,2
146,4.77,2.8938,41.7,0.0,3.164,1.185,9.882,0.966,1.121,1.299,2.236,0.012,0.0,1.74,3.646,1.867,8.083,2
147,4.517,2.6422,40.0,0.0,3.073,1.409,9.391,0.976,1.129,1.266,2.149,-0.024,0.0,2.036,3.553,2.074,7.884,2
148,4.414,3.135,46.2,0.0,2.884,0.802,9.183,0.998,1.112,1.264,2.101,-0.08,0.0,0.975,3.566,2.524,7.811,2
149,4.732,3.3319,42.9,0.0,3.025,0.875,9.579,1.022,1.119,1.219,2.194,0.047,0.0,0.854,3.67,2.917,8.008,2
150,4.607,3.1517,41.2,0.0,3.118,1.187,9.631,1.011,1.122,1.214,2.194,-0.026,0.0,1.544,3.649,2.537,8.058,2
151,4.898,3.1976,40.7,0.0,3.451,1.546,10.067,0.994,1.123,1.248,2.305,-0.002,0.0,2.0,3.729,2.192,8.364,2
152,4.97,3.567,46.2,0.0,3.66,0.861,10.06,1.073,1.099,1.334,2.307,0.015,0.0,0.962,4.106,2.9,9.154,2
153,4.782,2.9304,43.5,0.0,3.294,1.273,9.947,0.984,1.117,1.28,2.251,-0.007,10.288,1.951,3.671,2.333,8.238,2
154,4.869,3.2685,40.9,0.0,3.404,1.528,10.009,1.018,1.123,1.22,2.29,0.004,10.337,1.945,3.743,2.75,8.362,2
155,5.156,2.4524,55.6,-3.296,3.788,0.75,10.813,1.103,1.093,1.225,2.532,0.0,44.736,1.508,3.986,3.271,9.007,2
156,5.072,3.2754,40.0,-1.016,3.678,1.875,10.32,1.016,1.125,1.21,2.349,0.0,23.088,2.707,3.793,2.667,8.642,2
157,5.074,2.2282,44.2,-1.025,4.037,1.563,10.658,1.003,1.116,1.243,2.355,0.0,24.332,4.684,3.798,2.406,9.005,2
158,5.072,3.1939,43.8,-1.165,3.808,2.123,10.379,1.015,1.117,1.235,2.351,0.0,23.409,3.342,3.795,2.704,8.776,2
159,4.876,3.0864,41.7,-0.858,3.571,1.59,10.236,1.03,1.121,1.203,2.297,0.001,22.051,2.573,3.755,2.833,8.591,2
160,4.842,2.9844,41.7,-0.87,3.39,1.258,10.136,0.998,1.121,1.238,2.278,0.004,10.482,2.113,3.718,2.611,8.382,2
161,4.982,2.8539,53.3,-1.101,3.39,0.762,10.226,1.05,1.097,1.249,2.424,0.004,21.666,1.027,3.866,2.924,8.527,2
162,4.828,2.2467,50.0,-1.417,3.838,0.584,10.424,1.026,1.104,1.248,2.265,0.0,22.962,4.401,3.715,2.648,8.88,2
163,5.12,3.2785,36.8,-1.775,4.156,2.419,10.778,1.004,1.131,1.195,2.4,0.0,36.905,3.368,3.852,2.481,9.032,2
164,4.732,3.0836,46.7,-0.879,3.151,1.187,9.642,1.02,1.111,1.235,2.194,-0.026,10.201,1.659,3.663,2.926,8.161,2
165,4.77,3.1187,41.2,-0.931,3.249,1.185,9.882,1.024,1.127,1.219,2.236,0.015,10.271,1.74,3.707,3.0,8.288,2
166,4.951,2.7402,38.7,-0.464,3.59,2.071,10.241,1.002,1.127,1.223,2.29,-0.001,11.465,3.744,3.743,2.522,8.502,2
167,4.923,3.3133,43.8,-1.113,3.261,1.185,9.911,1.04,1.117,1.207,2.267,0.015,10.262,1.563,3.741,3.2,8.303,2
168,4.972,3.3935,42.9,-1.648,3.513,1.508,10.173,1.04,1.119,1.211,2.307,-0.002,21.185,2.228,3.761,3.09,8.567,2
169,4.845,2.7876,40.0,-0.746,3.678,2.125,10.281,1.016,1.125,1.217,2.282,0.0,22.67,3.549,3.718,2.667,8.635,2
170,5.31,3.4619,37.5,0.0,3.425,1.185,10.25,1.044,1.112,1.246,2.288,0.015,20.777,1.726,4.734,3.258,9.474,2
171,4.414,2.2808,35.3,0.464,2.801,0.802,9.183,0.985,1.134,1.197,2.101,-0.069,10.463,0.975,3.344,2.31,7.446,2
172,4.963,2.736,52.4,-0.884,3.532,0.985,10.277,1.009,1.099,1.296,2.359,0.001,10.645,1.762,3.881,2.59,8.68,2
173,4.877,2.6955,47.1,0.0,3.359,0.943,10.07,1.037,1.11,1.243,2.36,0.004,10.31,1.496,3.775,2.591,8.386,2
174,4.414,2.8449,41.7,0.041,2.898,0.802,9.183,1.016,1.128,1.254,2.101,-0.082,10.249,0.975,3.535,2.738,7.809,2
175,4.963,2.8471,50.0,-0.995,3.539,0.985,10.277,1.02,1.108,1.277,2.359,0.001,10.582,1.762,3.899,2.667,8.702,2
176,4.789,2.8739,30.8,-0.318,3.354,1.425,10.091,1.019,1.144,1.149,2.274,0.004,10.582,2.257,3.477,2.556,8.121,2
177,4.362,2.3925,31.6,0.225,2.93,0.75,9.272,0.992,1.147,1.177,2.091,0.041,10.572,1.017,3.355,2.333,7.556,2
178,4.983,4.2631,23.1,0.0,3.342,1.792,10.074,1.044,1.16,1.011,2.247,-0.008,0.0,2.666,3.397,3.694,7.88,2
179,4.977,1.8975,31.6,-0.336,4.19,3.866,10.735,0.991,1.142,1.157,2.361,0.0,11.756,10.593,3.497,2.267,8.727,2
180,5.164,3.0492,26.7,-0.462,3.592,1.437,10.493,1.042,1.155,1.083,2.402,-0.001,10.741,2.081,3.551,3.256,8.338,2
181,3.732,2.4945,22.2,0.0,2.553,1.585,8.16,0.979,1.171,1.119,1.802,-0.212,0.0,2.488,2.89,2.167,6.675,2
182,3.966,2.9244,30.8,0.0,3.545,3.146,9.522,0.964,1.145,1.194,1.97,0.0,0.0,6.909,3.005,1.618,7.749,2
183,3.986,2.958,32.1,0.0,4.008,3.792,10.039,0.965,1.141,1.198,1.987,0.0,0.0,10.955,3.01,1.685,8.228,2
184,4.235,2.7848,29.6,0.0,2.946,1.975,9.118,0.973,1.146,1.168,1.962,0.039,0.0,3.449,3.064,2.093,7.229,2
185,4.236,1.599,32.8,0.0,3.78,3.974,9.949,0.967,1.14,1.189,2.236,0.0,0.0,8.475,3.322,1.611,8.211,2
186,4.362,3.0285,27.3,0.0,2.867,1.906,9.059,0.993,1.151,1.123,2.0,-0.074,0.0,2.524,3.076,2.667,7.149,2
187,4.414,3.7375,35.3,1.188,2.812,1.379,9.222,0.985,1.134,1.258,2.0,0.135,10.178,2.133,3.467,2.619,7.714,2
