,CYCLOMATIC_DENSITY,DESIGN_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
87,0.1,1.0,19.62,8.36,1370.57,0.05,0.12,76.14,164.0,1.0,0.06,0.0,False
88,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.0,False
89,0.36,0.25,14.12,15.0,3176.62,0.07,0.07,176.48,211.77,0.25,0.27,0.0,False
90,0.17,1.0,24.59,4.05,405.89,0.03,0.25,22.55,99.91,1.0,0.05,53.85,False
91,0.29,0.5,12.33,7.2,639.44,0.03,0.14,35.52,88.81,0.5,0.2,0.0,False
92,0.43,0.67,11.71,9.43,1041.34,0.04,0.11,57.85,110.45,1.0,0.3,12.5,False
93,0.07,1.0,41.04,6.42,1689.97,0.09,0.16,93.89,263.37,1.0,0.04,30.0,False
94,0.14,0.83,71.39,24.46,42701.09,0.58,0.04,2372.28,1746.0,0.33,0.09,27.45,True
95,0.22,1.0,16.18,6.43,668.57,0.03,0.16,37.14,104.0,0.5,0.13,0.0,False
96,0.15,0.5,12.62,8.8,976.92,0.04,0.11,54.27,111.01,0.5,0.11,0.0,False
97,0.14,1.0,22.72,7.56,1297.09,0.06,0.13,72.06,171.67,1.0,0.06,0.0,False
98,0.16,0.25,32.68,28.0,25622.15,0.31,0.04,1423.45,915.08,0.25,0.14,0.0,False
99,0.6,1.0,17.03,4.0,272.46,0.02,0.25,15.14,68.11,0.33,0.38,0.0,False
100,0.13,0.33,33.43,24.17,19526.57,0.27,0.04,1084.81,808.0,0.17,0.09,42.59,True
101,0.05,1.0,36.01,29.66,31674.07,0.36,0.03,1759.67,1067.94,0.5,0.03,31.11,False
102,0.13,1.0,43.45,17.02,12581.62,0.25,0.06,698.98,739.35,0.2,0.07,39.58,True
103,0.47,0.33,32.32,33.06,35331.2,0.36,0.03,1962.84,1068.55,0.6,0.27,45.65,False
104,0.13,0.5,20.48,14.77,4470.34,0.1,0.07,248.35,302.61,0.5,0.07,6.67,True
105,0.09,0.75,41.64,16.78,11718.04,0.23,0.06,651.0,698.54,0.25,0.06,62.26,True
106,0.17,0.5,18.37,25.65,12086.9,0.16,0.04,671.49,471.22,0.5,0.13,0.0,False
107,0.33,0.46,21.29,46.67,46370.6,0.33,0.02,2576.14,993.66,0.08,0.23,11.11,False
108,0.07,1.0,41.04,6.42,1689.97,0.09,0.16,93.89,263.37,1.0,0.04,30.0,False
109,0.08,1.0,32.22,14.76,7021.85,0.16,0.07,390.1,475.63,1.0,0.02,53.85,False
110,0.29,1.0,13.87,8.25,944.2,0.04,0.12,52.46,114.45,0.5,0.2,0.0,False
111,0.33,1.0,11.62,3.0,104.61,0.01,0.33,5.81,34.87,0.5,0.18,0.0,False
112,0.4,1.0,11.52,8.33,800.0,0.03,0.12,44.44,96.0,0.5,0.25,0.0,False
113,0.14,1.0,18.28,7.5,1027.99,0.05,0.13,57.11,137.06,1.0,0.07,12.5,False
114,0.44,0.25,7.21,20.4,3001.83,0.05,0.05,166.77,147.15,0.25,0.25,44.44,False
115,0.6,0.67,12.07,14.08,2393.0,0.06,0.07,132.94,169.92,0.83,0.46,10.0,False
116,0.17,1.0,24.59,4.05,405.89,0.03,0.25,22.55,99.91,1.0,0.06,50.0,False
117,0.31,0.61,41.64,39.47,64869.18,0.55,0.03,3603.84,1643.48,0.67,0.16,6.35,False
118,0.21,0.5,47.86,19.04,17351.18,0.3,0.05,963.95,911.3,0.1,0.11,35.94,False
119,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.54,0.0,False
120,0.25,1.0,17.28,7.33,929.22,0.04,0.14,51.62,126.71,1.0,0.04,0.0,False
121,0.3,1.0,18.13,7.5,1020.0,0.05,0.13,56.67,136.0,0.33,0.18,0.0,False
122,0.17,1.0,36.8,7.33,1979.11,0.09,0.14,109.95,269.88,0.5,0.13,0.0,False
123,0.13,1.0,12.0,6.67,533.33,0.03,0.15,29.63,80.0,1.0,0.1,0.0,False
124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
125,0.09,1.0,32.42,21.5,14986.93,0.23,0.05,832.61,697.07,0.33,0.06,16.21,False
126,0.06,0.67,79.97,19.96,31849.29,0.53,0.05,1769.4,1595.93,1.0,0.02,35.9,False
127,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.6,0.0,False
128,0.17,0.57,22.53,28.41,18190.55,0.21,0.04,1010.59,640.25,0.14,0.1,27.78,True
129,0.17,1.0,25.71,4.67,560.0,0.04,0.21,31.11,120.0,1.0,0.05,45.45,False
130,0.07,0.5,32.9,19.0,11878.01,0.21,0.05,659.89,625.16,0.5,0.04,18.18,False
131,0.25,1.0,16.19,9.44,1444.3,0.05,0.11,80.24,152.93,0.5,0.12,0.0,False
132,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
133,0.12,1.0,81.88,7.97,5199.37,0.22,0.13,288.85,652.47,0.25,0.06,33.33,True
134,0.5,1.0,10.58,5.4,308.4,0.02,0.19,17.13,57.11,0.5,0.33,0.0,False
135,0.33,1.0,9.0,3.0,81.0,0.01,0.33,4.5,27.0,1.0,0.13,0.0,False
136,0.22,1.0,18.0,6.0,648.0,0.04,0.17,36.0,108.0,0.5,0.18,0.0,False
137,0.13,1.0,8.77,10.13,899.21,0.03,0.1,49.96,88.81,1.0,0.09,0.0,False
138,0.06,1.0,63.53,5.67,2040.0,0.12,0.18,113.33,360.0,1.0,0.02,52.94,False
139,0.5,1.0,16.74,7.0,820.45,0.04,0.14,45.58,117.21,1.0,0.2,0.0,False
140,0.14,1.0,14.47,10.0,1446.79,0.05,0.1,80.38,144.68,1.0,0.06,22.22,False
141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
142,0.25,0.53,34.92,44.83,70169.94,0.52,0.02,3898.33,1565.33,0.2,0.13,36.25,False
143,0.27,0.67,19.34,11.67,2632.25,0.08,0.09,146.24,225.62,1.0,0.18,8.33,False
144,0.09,0.5,38.22,12.32,5796.41,0.16,0.08,322.02,470.65,0.5,0.05,36.0,False
145,0.17,0.67,24.52,21.38,11200.69,0.17,0.05,622.26,524.01,0.83,0.1,45.24,True
146,0.2,1.0,40.24,4.43,790.81,0.06,0.23,43.93,178.38,0.5,0.08,23.08,False
147,0.5,0.5,13.09,15.56,3166.49,0.07,0.06,175.92,203.56,0.75,0.36,0.0,False
148,0.17,0.5,26.79,7.88,1661.41,0.07,0.13,92.3,210.97,0.5,0.06,71.43,False
149,0.2,0.22,32.63,24.1,18942.67,0.26,0.04,1052.37,786.16,0.11,0.12,15.38,False
150,0.45,0.89,31.13,20.58,13190.87,0.21,0.05,732.83,640.85,0.11,0.33,0.0,False
151,0.01,1.0,41.9,39.36,64918.77,0.55,0.03,3606.6,1649.31,1.0,0.01,11.32,False
152,0.5,0.67,18.13,7.5,1020.0,0.05,0.13,56.67,136.0,0.33,0.23,0.0,False
153,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,False
154,0.5,0.75,17.15,11.92,2435.45,0.07,0.08,135.3,204.37,0.25,0.27,0.0,False
155,0.25,1.0,16.23,4.57,339.34,0.02,0.22,18.85,74.23,0.5,0.15,0.0,False
156,0.25,1.0,10.87,3.5,133.19,0.01,0.29,7.4,38.05,1.0,0.2,0.0,False
157,0.19,0.67,18.11,10.83,2125.66,0.07,0.09,118.09,196.21,1.0,0.16,0.0,False
158,0.1,0.67,27.85,17.97,8994.33,0.17,0.06,499.69,500.5,0.33,0.05,46.81,False
159,1.0,0.5,9.51,4.0,152.16,0.01,0.25,8.45,38.04,0.5,2.0,0.0,False
160,0.3,0.67,18.87,7.8,1147.86,0.05,0.13,63.77,147.16,0.33,0.21,25.0,False
161,0.09,1.0,24.44,7.73,1459.45,0.06,0.13,81.08,188.87,1.0,0.03,8.33,False
162,0.47,0.86,21.28,19.5,8090.65,0.14,0.05,449.48,414.91,0.14,0.32,0.0,False
163,0.07,1.0,38.33,5.54,1177.03,0.07,0.18,65.39,212.4,1.0,0.03,58.62,False
164,0.44,0.25,11.77,13.81,2245.01,0.05,0.07,124.72,162.53,0.75,0.33,22.22,False
165,0.42,0.4,16.62,25.33,10668.04,0.14,0.04,592.67,421.11,0.2,0.19,40.0,False
166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,0.0,False
167,0.07,1.0,32.8,9.38,2882.46,0.1,0.11,160.14,307.46,1.0,0.06,0.0,False
168,0.3,0.33,19.9,8.8,1541.2,0.06,0.11,85.62,175.14,0.33,0.18,9.09,False
169,0.11,1.0,36.46,3.0,328.18,0.04,0.33,18.23,109.39,1.0,0.03,40.0,False
170,0.5,1.0,5.33,1.5,12.0,0.0,0.67,0.67,8.0,1.0,0.2,0.0,False
171,0.2,1.0,12.18,3.0,109.62,0.01,0.33,6.09,36.54,1.0,0.17,0.0,False
172,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02,0.0,False
173,0.44,0.88,34.01,17.0,9828.62,0.19,0.06,546.03,578.15,0.13,0.32,0.0,False
174,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.04,0.0,False
175,0.23,0.2,17.69,33.08,19354.95,0.2,0.03,1075.28,585.15,0.2,0.11,18.52,False
176,0.25,1.0,11.23,2.0,44.92,0.01,0.5,2.5,22.46,1.0,0.11,0.0,False
177,0.5,0.67,17.3,4.2,305.12,0.02,0.24,16.95,72.65,0.33,0.38,0.0,False
178,0.16,0.5,32.64,23.38,17851.06,0.25,0.04,991.73,763.37,0.5,0.11,11.9,False
179,0.13,0.5,20.68,12.5,3231.69,0.09,0.08,179.54,258.54,0.5,0.06,34.78,True
180,0.17,0.5,26.4,21.18,11839.59,0.19,0.05,657.76,559.09,0.75,0.06,62.0,False
181,0.29,0.5,8.9,7.0,435.89,0.02,0.14,24.22,62.27,0.5,0.22,0.0,False
182,0.27,0.67,20.85,5.0,521.24,0.03,0.2,28.96,104.25,0.33,0.19,36.36,True
183,0.33,0.5,8.86,6.0,318.91,0.02,0.17,17.72,53.15,0.5,0.18,0.0,False
184,0.25,0.8,45.51,39.03,69340.63,0.59,0.03,3852.26,1776.48,0.3,0.2,11.11,False
185,0.1,1.0,57.37,6.72,2590.56,0.13,0.15,143.92,385.5,0.5,0.04,72.73,True
186,0.5,0.75,20.0,10.21,2087.05,0.07,0.1,115.95,204.33,0.25,0.24,0.0,False
187,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,0.0,False
188,0.11,1.0,19.64,5.5,594.0,0.04,0.18,33.0,108.0,1.0,0.05,22.22,False
189,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
190,0.5,0.8,17.51,14.17,3513.33,0.08,0.07,195.19,248.0,0.2,0.29,0.0,False
191,0.17,1.0,16.3,4.08,271.98,0.02,0.24,15.11,66.61,1.0,0.07,14.29,False
192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
193,0.26,0.2,23.31,30.11,21129.06,0.23,0.03,1173.84,701.84,0.1,0.14,27.08,False
194,0.38,0.33,11.15,13.0,1884.3,0.05,0.08,104.68,144.95,0.33,0.15,53.85,True
195,0.67,0.5,11.39,3.5,139.52,0.01,0.29,7.75,39.86,0.5,0.4,0.0,False
196,0.07,1.0,30.43,17.19,8989.71,0.17,0.06,499.43,523.03,0.5,0.04,42.86,True
197,0.28,0.75,30.92,45.36,63608.7,0.47,0.02,3533.82,1402.31,0.58,0.25,10.87,False
198,0.1,1.0,33.33,5.4,972.0,0.06,0.19,54.0,180.0,1.0,0.03,53.33,True
199,0.23,1.0,35.25,13.42,6349.96,0.16,0.07,352.78,473.13,0.33,0.09,18.75,False
200,0.05,1.0,118.03,3.19,1200.82,0.13,0.31,66.71,376.47,1.0,0.01,59.26,False
201,0.16,0.55,53.33,32.38,55896.59,0.58,0.03,3105.37,1726.54,0.82,0.06,64.14,False
202,0.14,0.33,16.3,23.33,8879.54,0.13,0.04,493.31,380.55,0.33,0.1,17.39,False
203,0.0,1.0,2246.32,11.67,306039.54,8.74,0.09,17002.2,26219.5,1.0,0.0,26.19,True
204,0.67,0.5,10.69,9.0,865.9,0.03,0.11,48.11,96.21,1.0,0.5,0.0,False
205,0.06,0.33,30.09,43.27,56334.14,0.43,0.02,3129.67,1302.02,0.33,0.04,30.91,True
206,0.25,0.33,19.34,11.67,2632.25,0.08,0.09,146.24,225.62,0.33,0.09,52.0,False
207,0.23,0.67,20.14,10.5,2220.96,0.07,0.1,123.39,211.52,1.0,0.19,0.0,False
208,0.27,0.33,27.67,6.54,1183.09,0.06,0.15,65.73,180.94,0.33,0.08,54.17,False
209,1.26,0.99,94.78,31.27,92697.93,0.99,0.03,5149.89,2964.18,0.97,1.18,0.0,False
210,0.01,1.0,74.33,35.24,92334.31,0.87,0.03,5129.68,2619.79,1.0,0.01,35.66,False
211,0.33,1.0,8.72,4.0,139.48,0.01,0.25,7.75,34.87,1.0,0.1,40.0,False
212,0.17,0.57,42.52,62.4,165551.69,0.88,0.02,9197.32,2653.07,0.57,0.09,32.08,False
213,0.27,0.08,31.07,35.11,38303.42,0.36,0.03,2127.97,1091.0,0.5,0.22,13.33,False
214,0.38,0.67,8.27,16.8,2334.76,0.05,0.06,129.71,138.97,0.33,0.25,0.0,False
215,0.22,0.45,37.79,30.0,34007.12,0.38,0.03,1889.28,1133.57,0.64,0.1,46.15,False
216,0.17,1.0,22.5,2.0,90.0,0.02,0.5,5.0,45.0,1.0,0.05,50.0,True
217,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.23,0.0,False
218,0.13,1.0,18.58,11.0,2247.77,0.07,0.09,124.88,204.34,1.0,0.07,0.0,False
219,0.53,0.32,29.61,43.85,56916.12,0.43,0.02,3162.01,1298.09,0.58,0.48,0.0,False
220,0.14,0.67,39.64,11.0,4795.88,0.15,0.09,266.44,435.99,0.33,0.06,43.75,True
221,0.12,0.83,33.65,30.68,31677.57,0.34,0.03,1759.86,1032.45,1.0,0.05,46.84,False
222,0.17,0.5,25.6,6.54,1094.35,0.06,0.15,60.8,167.37,0.5,0.11,8.33,False
223,0.05,1.0,17.87,28.58,14596.38,0.17,0.03,810.91,510.66,1.0,0.03,21.74,True
224,0.17,1.0,15.36,4.2,271.02,0.02,0.24,15.06,64.53,1.0,0.13,0.0,False
225,0.25,1.0,18.49,3.5,226.54,0.02,0.29,12.59,64.73,1.0,0.05,69.23,False
226,0.17,0.4,20.05,21.25,9053.79,0.14,0.05,502.99,426.06,0.2,0.09,34.21,True
227,0.1,0.5,22.99,23.11,12280.56,0.18,0.04,682.25,531.37,0.5,0.04,44.12,False
228,0.29,0.5,12.33,7.2,639.44,0.03,0.14,35.52,88.81,0.5,0.17,0.0,False
229,0.5,0.67,17.34,8.25,1180.25,0.05,0.12,65.57,143.06,0.33,0.23,0.0,False
230,0.1,1.0,19.88,11.11,2454.36,0.07,0.09,136.35,220.89,1.0,0.04,33.33,False
231,0.15,0.86,37.11,40.91,62115.21,0.51,0.02,3450.85,1518.2,0.86,0.07,50.29,False
232,0.05,1.0,27.02,35.67,34375.18,0.32,0.03,1909.73,963.79,1.0,0.04,8.7,False
233,0.36,0.46,34.83,19.0,12571.87,0.22,0.05,698.44,661.68,0.92,0.34,0.0,False
234,0.24,0.5,17.85,11.82,2492.55,0.07,0.08,138.48,210.91,0.75,0.14,32.0,False
235,0.19,1.0,27.77,18.5,9505.92,0.17,0.05,528.11,513.83,0.2,0.11,37.84,False
236,0.4,0.5,8.86,6.0,318.91,0.02,0.17,17.72,53.15,0.5,0.09,66.67,False
237,0.5,0.8,19.67,13.36,3508.99,0.09,0.07,194.94,262.71,0.2,0.28,0.0,False
238,0.5,0.67,18.13,7.5,1020.0,0.05,0.13,56.67,136.0,0.33,0.21,0.0,False
239,0.44,0.5,15.82,14.3,3234.35,0.08,0.07,179.69,226.18,0.25,0.31,0.0,False
240,0.25,0.33,16.21,11.0,1962.54,0.06,0.09,109.03,178.41,0.33,0.04,88.89,False
241,0.45,0.8,17.98,17.82,5709.41,0.11,0.06,317.19,320.43,0.6,0.33,0.0,False
242,0.31,0.25,19.87,20.53,8379.04,0.14,0.05,465.5,408.07,0.25,0.21,0.0,False
243,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,83.33,False
244,0.5,1.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.13,60.0,False
245,0.19,1.0,35.26,7.71,2098.48,0.09,0.13,116.58,272.03,0.33,0.13,0.0,False
246,0.42,0.29,29.75,68.5,139594.59,0.68,0.01,7755.26,2037.88,0.43,0.4,2.0,False
247,0.07,1.0,41.04,6.42,1689.97,0.09,0.16,93.89,263.37,1.0,0.04,30.0,False
248,0.33,1.0,8.72,4.0,139.48,0.01,0.25,7.75,34.87,1.0,0.1,40.0,False
249,0.19,1.0,24.04,10.4,2599.82,0.08,0.1,144.43,249.98,0.33,0.13,16.67,True
250,0.42,0.8,17.51,14.17,3513.33,0.08,0.07,195.19,248.0,0.2,0.33,0.0,False
251,0.5,1.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.25,0.0,False
252,0.18,1.0,17.66,17.5,5408.68,0.1,0.06,300.48,309.07,0.33,0.11,15.79,True
253,0.57,1.0,16.02,5.4,467.02,0.03,0.19,25.95,86.49,0.25,0.2,66.67,False
254,0.19,0.67,53.47,15.83,13404.4,0.28,0.06,744.69,846.59,0.11,0.12,42.11,True
255,0.08,0.5,33.15,19.0,11967.32,0.21,0.05,664.85,629.86,0.5,0.05,16.12,False
256,0.3,0.67,22.3,11.0,2698.79,0.08,0.09,149.93,245.34,1.0,0.25,0.0,False
