,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,TARGET
24,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,1
25,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,1
26,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,1
27,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,1
28,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,1
29,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,1
30,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,1
31,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,1
32,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,1
33,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,1
34,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,1
35,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,1
36,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,1
37,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,1
38,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,1
39,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,1
40,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,1
41,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,1
42,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,1
43,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,1
44,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,1
45,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,1
46,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,1
47,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,1
48,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,1
49,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,1
50,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,1
51,0.0154,0.219,0.1667,0.0065,0.234,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.944,1
52,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,1
53,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,1
54,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,1
55,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,1
56,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,1
57,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,1
58,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,1
59,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,1
60,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,1
61,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,1
62,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,1
63,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,1
64,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,1
65,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,1
66,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,1
67,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,1
68,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,1
69,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,1
70,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,1
71,0.0607,0.246,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.417,1
72,0.5821,0.4938,0.4,0.0048,0.5333,1.0,1.0,1.9085,0.9031,1.301,0.6,-0.16,0.2792,1
73,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,-0.4276,0.215,1
74,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,-0.403,0.2018,1
75,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,1
76,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,1
77,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,1
78,0.1771,0.4121,0.0569,0.0114,0.097,0.986,1.0,3.4221,1.2041,2.4487,0.9431,-0.1132,1.0,1
79,0.0594,0.4012,0.0904,0.013,0.1343,0.9901,1.0,3.3314,1.2553,2.2989,0.9096,-0.166,1.0,1
80,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,1
81,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,1
82,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.216,0.1622,1
83,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,2.776,0.9481,-0.2153,1.0,1
84,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,1
85,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,1
86,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,1
87,0.2188,0.2839,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.1765,0.633,1
88,0.1848,0.2702,0.3056,0.0081,0.44,1.0,1.0,2.4609,1.0414,1.5563,0.6944,-0.1313,0.6514,1
89,0.5719,0.465,0.3846,0.011,0.4167,1.0,1.0,2.4955,1.1761,1.5911,0.6154,-0.1263,0.8682,1
90,0.4692,0.3535,0.25,0.0095,0.3611,1.0,1.0,2.6405,1.1139,1.716,0.75,-0.1976,0.9236,1
91,0.0499,0.3529,0.2464,0.0125,0.3778,1.0,1.0,2.8802,1.2305,1.8389,0.7536,-0.3003,0.997,1
92,0.2338,0.2227,0.194,0.0096,0.2955,1.0,1.0,2.8306,1.1139,1.8261,0.806,-0.2199,0.9779,1
93,0.1261,0.2622,0.5909,0.0095,0.7222,1.0,1.0,2.3243,1.1139,1.3424,0.4091,-0.3402,0.4729,1
94,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,1.716,0.9542,0.8451,-0.2222,-0.2414,0.1687,1
95,0.8203,0.3077,0.4483,0.0096,0.4643,1.0,1.0,2.4166,1.1139,1.4624,0.5517,-0.1541,0.6221,1
96,0.7385,0.351,0.3077,0.0047,0.4444,1.0,1.0,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479,1
97,0.9231,0.3987,0.1628,0.0041,0.2414,1.0,1.0,2.2577,0.8451,1.6335,0.8372,-0.1253,0.4979,1
98,0.8442,0.2829,0.4211,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686,1
99,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,2.0086,0.9031,1.2041,0.5,-0.128,0.2384,1
100,0.7778,0.3929,0.5833,0.0041,0.875,1.0,1.0,1.7076,0.8451,1.0792,0.4167,-0.081,0.1892,1
101,0.1491,0.3619,0.4762,0.0059,0.7692,1.0,1.0,2.1271,1.0,1.3222,0.5238,-0.2213,0.3509,1
102,0.2202,0.3214,0.5,0.0086,0.6087,1.0,1.0,2.4249,1.1461,1.4472,0.5,-0.279,0.6453,1
103,0.5433,0.2152,0.1165,0.0088,0.2105,1.0,1.0,2.9868,1.0792,2.0128,0.8835,-0.2146,0.998,1
104,0.049,0.305,0.2281,0.008,0.4063,1.0,1.0,2.7118,1.1139,1.7559,0.7719,-0.3686,0.9491,1
105,0.2754,0.2267,0.6667,0.0061,0.5882,1.0,1.0,2.0645,1.0,1.1761,0.3333,-0.215,0.266,1
106,0.1812,0.3981,0.1066,0.0128,0.1438,1.0,1.0,3.3962,1.3222,2.2945,0.8934,-0.112,1.0,1
107,0.3174,0.3104,0.4643,0.008,0.5909,1.0,1.0,2.3997,1.1139,1.4472,0.5357,-0.1269,0.6015,1
108,0.5646,0.4271,0.5,0.0074,0.5454,0.9231,1.0,2.2175,1.0792,1.3802,0.5,-0.1126,0.4763,1
109,0.0353,0.268,0.5294,0.0066,0.5625,1.0,1.0,2.0492,0.9542,1.2305,0.4706,-0.2021,0.2699,1
110,0.117,0.4091,0.3438,0.0082,0.4583,1.0,1.0,2.3181,1.0414,1.5051,0.6563,-0.1557,0.5822,1
111,0.1418,0.2593,0.3714,0.0096,0.5,1.0,1.0,2.5276,1.1139,1.5441,0.6286,-0.2262,0.7347,1
112,0.0024,0.3373,0.3214,0.0053,0.375,1.0,1.0,2.2227,0.9542,1.4472,0.6786,-0.5528,0.417,1
113,0.2123,0.3056,0.2813,0.0053,0.375,1.0,1.0,2.301,0.9542,1.5051,0.7188,-0.1527,0.4763,1
114,0.0024,0.2877,0.0714,0.0035,0.2069,1.0,1.0,2.5551,0.7782,1.9243,0.9286,-0.5816,0.7933,1
115,0.0071,0.2878,0.1,0.0041,0.2121,1.0,1.0,2.5428,0.8451,1.8451,0.9,-0.4471,0.7776,1
116,0.0047,0.3333,0.2333,0.0041,0.5833,1.0,1.0,2.1461,0.8451,1.4771,0.7667,-0.4836,0.3509,1
117,0.1376,0.2982,0.2667,0.0071,0.3429,1.0,1.0,2.5786,1.0792,1.6532,0.7333,-0.223,0.8299,1
118,0.8916,0.3278,0.45,0.0053,0.6923,1.0,1.0,2.0828,0.9542,1.301,0.55,-0.1384,0.3068,1
119,0.1355,0.4024,0.1765,0.0088,0.2381,0.9884,1.0,2.8819,1.1761,1.9294,0.8235,-0.1956,0.9985,1
120,0.1309,0.3724,0.1429,0.0082,0.1795,1.0,1.0,2.935,1.1461,1.9912,0.8571,-0.182,0.9992,1
121,0.1262,0.4303,0.3333,0.0082,0.3784,1.0,1.0,2.525,1.1461,1.6233,0.6667,-0.2359,0.8705,1
122,0.1272,0.3333,0.3333,0.0065,0.4583,1.0,1.0,2.3838,1.0414,1.5185,0.6667,-0.2035,0.5999,1
123,0.3408,0.2667,0.4,0.0071,0.4615,1.0,1.0,2.4216,1.0792,1.4771,0.6,-0.2445,0.5951,1
124,0.0059,0.3796,0.2963,0.0047,0.4,1.0,1.0,2.1271,0.9031,1.4314,0.7037,-0.1485,0.3601,1
125,0.125,0.5507,0.1739,0.0071,0.2143,0.9857,1.0,2.5705,1.0792,1.8389,0.8261,-0.2034,0.9708,1
126,0.1002,0.4296,0.1839,0.0094,0.2712,1.0,1.0,2.8998,1.2041,1.9395,0.8161,-0.1694,0.9993,1
127,0.0118,0.4089,0.375,0.0071,0.4286,1.0,1.0,2.356,1.0792,1.5051,0.625,-0.1841,0.633,1
128,0.106,0.3941,0.1471,0.0088,0.2308,0.9903,1.0,2.9671,1.1761,2.0086,0.8529,-0.2456,0.9997,1
129,0.0106,0.1864,0.2903,0.0053,0.4091,1.0,1.0,2.356,0.9542,1.4914,0.7097,-0.2475,0.4613,1
130,0.2188,0.3157,0.2045,0.0053,0.2571,0.9778,1.0,2.433,0.9542,1.6435,0.7954,-0.1851,0.6514,1
131,0.2474,0.5187,0.2023,0.0106,0.36,1.0,1.0,2.887,1.2553,1.9494,0.7977,-0.2261,0.9998,1
132,0.0495,0.3291,0.2407,0.0077,0.3514,1.0,1.0,2.673,1.1139,1.7324,0.7593,-0.2722,0.9349,1
133,0.1508,0.4063,0.4688,0.0088,0.625,1.0,1.0,2.4548,1.1761,1.5051,0.5313,-0.1805,0.7659,1
134,0.8969,0.3478,0.3478,0.0047,0.4706,1.0,1.0,2.0792,0.9031,1.3617,0.6522,-0.2033,0.3125,1
135,0.154,0.3889,0.0422,0.0107,0.0717,0.9977,1.0,3.6708,1.2553,2.6294,0.9578,-0.2424,1.0,1
136,0.1475,0.2222,0.2778,0.0037,0.3333,1.0,1.0,1.8451,0.699,1.2553,0.7222,-0.1015,0.1954,1
137,0.1219,0.2308,0.3462,0.0066,0.5,1.0,1.0,2.2553,0.9542,1.415,0.6539,-0.1702,0.3882,1
138,0.4417,0.3281,0.4783,0.0065,0.6111,1.0,1.0,2.2304,1.0414,1.3617,0.5217,-0.1704,0.4187,1
139,0.6533,0.3083,0.3,0.0035,0.4286,1.0,1.0,1.9191,0.7782,1.301,0.7,-0.0666,0.2288,1
140,0.6613,0.4573,0.0393,0.0103,0.0657,0.9916,1.0,3.4322,1.1461,2.5515,0.9607,-0.4283,1.0,1
141,0.0353,0.292,0.1,0.0037,0.3333,1.0,1.0,2.248,0.699,1.699,0.9,-0.2325,0.4138,1
142,0.2533,0.3519,0.3548,0.0081,0.4231,1.0,1.0,2.3444,1.0414,1.4914,0.6452,-0.2043,0.5642,1
143,0.0442,0.2431,0.4444,0.0059,0.5,1.0,1.0,2.0374,0.9031,1.2553,0.5556,-0.1705,0.2583,1
144,0.5712,0.2571,0.7143,0.0073,0.7143,1.0,1.0,2.017,1.0,1.1461,0.2857,-0.1175,0.2532,1
145,0.6618,0.4189,0.0448,0.0118,0.0724,1.0,1.0,3.521,1.2041,2.5527,0.9552,-0.1436,1.0,1
146,0.0604,0.2729,0.2453,0.0096,0.3939,1.0,1.0,2.6998,1.1139,1.7243,0.7547,-0.2746,0.9294,1
147,0.4345,0.3217,0.3939,0.0096,0.65,1.0,1.0,2.4639,1.1139,1.5185,0.6061,-0.2292,0.6995,1
148,0.3941,0.3383,0.1803,0.0081,0.2558,1.0,1.0,2.6474,1.0414,1.7853,0.8197,-0.2035,0.9212,1
149,0.0912,0.3065,0.3871,0.0088,0.4444,1.0,1.0,2.4116,1.0792,1.4914,0.6129,-0.1854,0.6142,1
150,0.0265,0.25,0.2857,0.0059,0.3333,1.0,1.0,2.2253,0.9031,1.4472,0.7143,-0.0575,0.3725,1
151,0.0236,0.2842,0.5263,0.0074,0.5263,1.0,1.0,2.1335,1.0,1.2787,0.4737,-0.0481,0.3212,1
152,0.028,0.4915,0.3462,0.0066,0.3462,1.0,1.0,2.0756,0.9542,1.415,0.6539,-0.05,0.3882,1
153,0.0236,0.2441,0.2941,0.0074,0.4762,1.0,1.0,2.4099,1.0,1.5315,0.7059,-0.0559,0.5626,1
154,0.0206,0.4647,0.1636,0.0066,0.1915,0.9821,1.0,2.4232,0.9542,1.7404,0.8364,0.004,0.7833,1
155,0.0192,0.4531,0.3333,0.0059,0.4444,1.0,1.0,2.0212,0.9031,1.3802,0.6667,0.0374,0.3241,1
156,0.0221,0.2222,0.4091,0.0066,0.45,1.0,1.0,2.1875,0.9542,1.3424,0.5909,0.0,0.3329,1
157,0.025,0.2328,0.4286,0.0066,0.5,1.0,1.0,2.1614,0.9542,1.3222,0.5714,0.0073,0.3197,1
158,0.6124,0.5376,0.7368,0.0111,0.5758,0.8235,0.0,2.0899,1.2787,1.1461,-0.2632,0.0072,0.4399,1
159,0.0103,0.2222,0.5,0.0089,0.9231,1.0,0.0,1.7482,1.0792,0.7782,-0.5,-0.0748,0.1773,1
160,0.0547,0.435,0.64,0.0118,0.4848,0.8065,1.0,2.3541,1.2041,1.3979,0.36,-0.1163,0.6574,1
161,0.0576,0.3512,0.2143,0.0089,0.2927,1.0,1.0,2.6395,1.0792,1.7482,0.7857,-0.3004,0.9216,1
162,0.2851,0.3636,0.9167,0.0089,0.6316,1.0,0.0,1.9243,1.0792,1.0414,-0.0833,-0.1485,0.2432,1
163,0.2142,0.625,0.8571,0.0103,0.7,0.8,0.0,1.7993,1.1461,1.0792,-0.1429,-0.0387,0.2901,1
164,0.0576,0.552,0.1243,0.0155,0.1469,0.9826,1.0,3.2014,1.3222,2.2279,0.8757,-0.2431,1.0,1
165,0.2083,0.6213,0.2808,0.0303,0.204,0.9068,1.0,3.3554,1.6128,2.1644,0.7192,-0.1426,1.0,1
166,0.1004,0.6764,0.7609,0.0258,0.3889,0.8518,1.0,2.7168,1.5441,1.6628,0.2391,-0.0564,0.9998,1
167,0.1195,0.4475,0.2364,0.0096,0.2407,0.9322,1.0,2.5966,1.1139,1.7404,0.7636,-0.1797,0.94,1
168,0.0,0.5847,0.34,0.0126,0.3207,0.8929,1.0,2.5478,1.2305,1.699,0.66,-0.2844,0.9747,1
169,0.1389,0.5119,0.3429,0.0089,0.3636,0.9722,1.0,2.3117,1.0792,1.5441,0.6571,-0.1268,0.6868,1
170,0.0148,0.3864,0.55,0.0081,0.6875,0.8696,1.0,2.1303,1.0414,1.301,0.45,-0.4918,0.3663,1
171,0.0044,0.4167,0.2857,0.0088,0.3429,1.0,1.0,2.4683,1.0792,1.6233,0.7143,-0.4515,0.7933,1
172,0.0236,0.3173,0.6154,0.0059,0.6667,1.0,1.0,1.8513,0.9031,1.1139,0.3846,-0.2496,0.2105,1
173,0.2127,0.4815,0.3333,0.0044,0.375,0.9474,1.0,1.7482,0.7782,1.2553,0.6667,-0.0802,0.215,1
174,0.0443,0.5714,0.6429,0.0066,0.5294,0.9333,1.0,1.7324,0.9542,1.1461,0.3571,-0.1447,0.2359,1
175,0.0929,0.3808,0.5588,0.014,0.3878,0.8095,1.0,2.6021,1.2787,1.5315,0.4412,-0.3081,0.9082,1
176,0.2445,0.4306,0.4444,0.0059,0.3636,0.8571,1.0,1.9138,0.9031,1.2553,0.5556,-0.098,0.2583,1
177,0.2327,0.5071,0.7143,0.0074,0.7143,1.0,1.0,1.8389,1.0,1.1461,0.2857,-0.1328,0.2532,1
178,0.257,0.525,0.6,0.0148,0.5263,0.5714,0.0,2.0569,1.301,1.0792,-0.4,-0.0683,0.3977,1
179,0.7577,0.4803,0.8421,0.0118,0.5714,1.0,1.0,2.1987,1.2041,1.2787,0.1579,-0.2228,0.5029,1
180,0.0369,0.6042,1.0,0.0089,0.8,1.0,0.5,1.7559,1.0792,1.0792,0.0,-0.3754,0.2583,1
181,0.0133,0.2525,0.8182,0.0066,0.6,1.0,1.0,1.8692,0.9542,1.0414,0.1818,-0.5411,0.2051,1
182,0.2729,0.5536,0.8571,0.0103,0.6087,1.0,0.0,1.8751,1.1461,1.0792,-0.1429,-0.1109,0.2901,1
183,0.1976,0.5888,0.2529,0.0162,0.234,0.9255,1.0,2.896,1.3424,1.9395,0.7471,-0.1535,1.0,1
184,0.1193,0.7566,0.8824,0.0994,0.1805,0.3796,1.0,3.7013,2.1303,2.1847,0.1177,-0.0496,1.0,1
185,0.5678,0.5204,0.7188,0.017,0.3539,0.8,1.0,2.5478,1.3617,1.5051,0.2813,-0.2424,0.9474,1
186,0.0502,0.3854,0.6667,0.0059,0.6154,1.0,1.0,1.7708,0.9031,1.0792,0.3333,-0.2574,0.2018,1
187,0.2866,0.5256,0.9231,0.0096,0.6842,0.9231,0.0,1.8692,1.1139,1.0792,-0.0769,-0.0588,0.2739,1
188,0.3835,0.3452,0.5833,0.0088,1.0,1.0,0.0,1.7404,1.0792,0.8451,-0.4167,-0.1327,0.1892,1
189,0.0015,0.5006,0.283,0.0111,0.3,0.9464,1.0,2.5988,1.1761,1.7243,0.717,-0.5678,0.9639,1
190,0.3319,0.4115,0.5789,0.014,0.6786,0.6875,0.0,2.0899,1.2787,1.0414,-0.4211,-0.1649,0.3494,1
191,0.5443,0.3554,1.0,0.0081,0.4583,0.9167,0.5,1.8921,1.0414,1.0414,0.0,-0.1599,0.23,1
192,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,1.0,1.7993,0.7782,1.2305,0.6471,-0.2096,0.2083,1
193,0.7463,0.4551,0.5417,0.0096,0.4643,0.96,1.0,2.2304,1.1139,1.3802,0.4583,-0.0809,0.5162,1
194,0.1612,0.4833,0.6,0.0089,0.6667,1.0,1.0,2.0934,1.0792,1.301,0.4,-0.1464,0.3977,1
195,0.0723,0.4177,0.3188,0.0162,0.2076,0.7041,1.0,2.9464,1.3424,1.8389,0.6812,-0.2601,0.9997,1
196,0.0752,0.4852,0.3704,0.0074,0.4762,1.0,1.0,2.143,1.0,1.4314,0.6296,-0.5373,0.4465,1
197,0.5847,0.5067,0.36,0.0132,0.3103,1.0,1.0,2.6474,1.2553,1.699,0.64,-0.091,0.9818,1
198,0.941,0.5333,0.9375,0.0111,0.6522,0.9412,1.0,2.0492,1.1761,1.2041,0.0625,-0.222,0.3977,1
199,0.5965,0.2828,0.8182,0.0081,0.7333,0.9,0.0,1.8513,1.0414,0.9542,-0.1818,-0.0291,0.2051,1
200,0.1991,0.45,0.35,0.0052,0.4667,1.0,1.0,1.8865,0.8451,1.301,0.65,-0.1645,0.2532,1
201,0.0,0.5167,0.1167,0.0103,0.1505,1.0,1.0,2.9096,1.1461,2.0792,0.8833,-0.4202,0.9999,1
202,0.0147,0.5551,0.1569,0.0236,0.1624,0.9855,1.0,3.463,1.5051,2.3096,0.8431,-0.6096,1.0,1
203,0.0148,0.5436,0.2292,0.0162,0.2076,0.932,1.0,2.9841,1.3424,1.9823,0.7708,-0.5644,1.0,1
204,0.0118,0.6461,0.3594,0.0169,0.3771,0.9552,1.0,2.7168,1.3617,1.8062,0.6406,-0.5274,0.9996,1
205,0.3186,0.6322,0.4533,0.0251,0.2906,0.7979,1.0,2.9722,1.5315,1.8751,0.5467,-0.0828,1.0,1
206,0.0502,0.8648,0.3454,0.0776,0.2234,0.8,1.0,3.635,2.0212,2.4829,0.6546,-0.1328,1.0,1
207,0.3338,0.5084,0.2614,0.017,0.3286,0.9778,1.0,2.9978,1.3617,1.9445,0.7386,-0.1285,1.0,1
